EventId,Team,Formation,Player1_Name,Player1_code,Player1_Position,Player1_substitute,Player1_Rating,Player1_accuratePass,Player1_totalLongBalls,Player1_accurateLongBalls,Player1_totalClearance,Player1_savedShotsFromInsideTheBox,Player1_saves,Player1_punches,Player1_minutesPlayed,Player2_Name,Player2_code,Player2_Position,Player2_substitute,Player2_Rating,Player2_accuratePass,Player2_totalLongBalls,Player2_accurateLongBalls,Player2_totalClearance,Player2_savedShotsFromInsideTheBox,Player2_saves,Player2_punches,Player2_minutesPlayed,Player3_Name,Player3_code,Player3_Position,Player3_substitute,Player3_Rating,Player3_accuratePass,Player3_totalLongBalls,Player3_accurateLongBalls,Player3_totalClearance,Player3_savedShotsFromInsideTheBox,Player3_saves,Player3_punches,Player3_minutesPlayed,Player4_Name,Player4_code,Player4_Position,Player4_substitute,Player4_Rating,Player4_accuratePass,Player4_totalLongBalls,Player4_accurateLongBalls,Player4_totalClearance,Player4_savedShotsFromInsideTheBox,Player4_saves,Player4_punches,Player4_minutesPlayed,Player5_Name,Player5_code,Player5_Position,Player5_substitute,Player5_Rating,Player5_accuratePass,Player5_totalLongBalls,Player5_accurateLongBalls,Player5_totalClearance,Player5_savedShotsFromInsideTheBox,Player5_saves,Player5_punches,Player5_minutesPlayed,Player6_Name,Player6_code,Player6_Position,Player6_substitute,Player6_Rating,Player6_accuratePass,Player6_totalLongBalls,Player6_accurateLongBalls,Player6_totalClearance,Player6_savedShotsFromInsideTheBox,Player6_saves,Player6_punches,Player6_minutesPlayed,Player7_Name,Player7_code,Player7_Position,Player7_substitute,Player7_Rating,Player7_accuratePass,Player7_totalLongBalls,Player7_accurateLongBalls,Player7_totalClearance,Player7_savedShotsFromInsideTheBox,Player7_saves,Player7_punches,Player7_minutesPlayed,Player8_Name,Player8_code,Player8_Position,Player8_substitute,Player8_Rating,Player8_accuratePass,Player8_totalLongBalls,Player8_accurateLongBalls,Player8_totalClearance,Player8_savedShotsFromInsideTheBox,Player8_saves,Player8_punches,Player8_minutesPlayed,Player9_Name,Player9_code,Player9_Position,Player9_substitute,Player9_Rating,Player9_accuratePass,Player9_totalLongBalls,Player9_accurateLongBalls,Player9_totalClearance,Player9_savedShotsFromInsideTheBox,Player9_saves,Player9_punches,Player9_minutesPlayed,Player10_Name,Player10_code,Player10_Position,Player10_substitute,Player10_Rating,Player10_accuratePass,Player10_totalLongBalls,Player10_accurateLongBalls,Player10_totalClearance,Player10_savedShotsFromInsideTheBox,Player10_saves,Player10_punches,Player10_minutesPlayed,Player11_Name,Player11_code,Player11_Position,Player11_substitute,Player11_Rating,Player11_accuratePass,Player11_totalLongBalls,Player11_accurateLongBalls,Player11_totalClearance,Player11_savedShotsFromInsideTheBox,Player11_saves,Player11_punches,Player11_minutesPlayed,Player12_Name,Player12_code,Player12_Position,Player12_substitute,Player12_Rating,Player12_accuratePass,Player12_totalLongBalls,Player12_accurateLongBalls,Player12_totalClearance,Player12_savedShotsFromInsideTheBox,Player12_saves,Player12_punches,Player12_minutesPlayed,Player13_Name,Player13_code,Player13_Position,Player13_substitute,Player13_Rating,Player13_accuratePass,Player13_totalLongBalls,Player13_accurateLongBalls,Player13_totalClearance,Player13_savedShotsFromInsideTheBox,Player13_saves,Player13_punches,Player13_minutesPlayed,Player14_Name,Player14_code,Player14_Position,Player14_substitute,Player14_Rating,Player14_accuratePass,Player14_totalLongBalls,Player14_accurateLongBalls,Player14_totalClearance,Player14_savedShotsFromInsideTheBox,Player14_saves,Player14_punches,Player14_minutesPlayed,PlayerCount,AverageTeamRating,Player16_Name,Player16_code,Player16_Position,Player16_substitute,Player16_Rating,Player16_accuratePass,Player16_totalLongBalls,Player16_accurateLongBalls,Player16_totalClearance,Player16_savedShotsFromInsideTheBox,Player16_saves,Player16_punches,Player16_minutesPlayed,Player17_Name,Player17_code,Player17_Position,Player17_substitute,Player17_Rating,Player17_accuratePass,Player17_totalLongBalls,Player17_accurateLongBalls,Player17_totalClearance,Player17_savedShotsFromInsideTheBox,Player17_saves,Player17_punches,Player17_minutesPlayed,Player15_Name,Player15_code,Player15_Position,Player15_substitute,Player15_Rating,Player15_accuratePass,Player15_totalLongBalls,Player15_accurateLongBalls,Player15_totalClearance,Player15_savedShotsFromInsideTheBox,Player15_saves,Player15_punches,Player15_minutesPlayed,Player18_Name,Player18_code,Player18_Position,Player18_substitute,Player18_Rating,Player18_accuratePass,Player18_totalLongBalls,Player18_accurateLongBalls,Player18_totalClearance,Player18_savedShotsFromInsideTheBox,Player18_saves,Player18_punches,Player18_minutesPlayed
6807359,Home,4-2-3-1,Pau López,pau-lopez,G,False,0,5,17,5,2,1,2,2,90,Anaitz Arbilla,anaitz-arbilla,D,False,0,18,7,4,4,0,0,0,90,Álvaro González,alvaro-gonzalez,D,False,0,10,4,2,10,0,0,0,77,Antonio Raíllo,antonio-raillo,D,False,0,7,5,2,6,0,0,0,90,Rubén Duarte,ruben-duarte,D,False,0,16,9,4,1,0,0,0,90,Víctor Sánchez,victor-sanchez,M,False,0,17,4,1,2,0,0,0,90,Javi López,javi-lopez,D,False,0,22,6,3,1,0,0,0,90,Paco Montañés,paco-montanes,M,False,0,11,2,0,1,0,0,0,90,Salva Sevilla,salva-sevilla,M,False,0,14,1,0,0,0,0,0,58,Víctor Álvarez,victor-alvarez,M,False,0,18,4,2,3,0,0,0,90,Felipe Caicedo,felipe-caicedo,F,False,0,14,0,0,2,0,0,0,69,Gerard Moreno,gerard-moreno,F,True,0.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,32.0,José Alberto Cañas,jose-alberto-canas,M,True,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,21.0,Burgui,burgui,M,True,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6807359,Away,4-2-3-1,Vicente Guaita,vicente-guaita,G,False,0,11,16,4,2,1,1,2,90,Damián Suárez,damian-suarez,D,False,0,38,2,1,2,0,0,0,90,Santiago Vergini,santiago-vergini,D,False,0,49,6,6,3,0,0,0,82,Alexis Ruano,alexis-ruano,D,False,0,46,7,3,2,0,0,0,90,Carlos Vigaray,carlos-vigaray,D,False,0,30,7,2,5,0,0,0,90,Juan Rodríguez,juan-rodriguez,M,False,0,37,7,4,1,0,0,0,67,Mehdi Lacen,mehdi-lacen,M,False,0,77,12,7,0,0,0,0,90,Pedro León,pedro-leon,M,False,0,29,5,1,0,0,0,0,77,Pablo Sarabia,pablo-sarabia,F,False,0,14,3,1,0,0,0,0,62,Víctor Rodríguez,victor-rodriguez,M,False,0,44,2,2,0,0,0,0,90,Álvaro Vázquez,alvaro-vazquez,F,False,0,8,0,0,0,0,0,0,90,Emiliano Buendía,emiliano-buendia,M,True,0.0,18.0,5.0,4.0,0.0,0.0,0.0,0.0,28.0,Álvaro Medrán,alvaro-medran,M,True,0.0,24.0,2.0,2.0,0.0,0.0,0.0,0.0,23.0,Ian González Nieto,ian-gonzalez-nieto,F,True,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6807433,Home,4-2-3-1,Andrés Fernández,andres-fernandez,G,False,0,18,14,8,1,2,2,0,90,Miguel Lopes,miguel-lopes,D,False,0,23,1,1,2,0,0,0,73,Jean-Sylvain Babin,jean-sylvain-babin,D,False,0,20,4,1,4,0,0,0,90,David Lombán,david-lomban,D,False,0,27,6,4,9,0,0,0,90,Cristiano Biraghi,cristiano-biraghi,D,False,0,21,5,2,6,0,0,0,90,Rene Krhin,rene-krhin,M,False,0,37,7,7,1,0,0,0,90,Rubén Pérez,ruben-perez,M,False,0,14,2,2,0,0,0,0,22,Isaac Success,isaac-success,F,False,0,17,0,0,1,0,0,0,90,Javi Marquez,javi-marquez,M,False,0,24,9,5,0,0,0,0,64,Rubén Rochina,ruben-rochina,M,False,0,31,8,2,0,0,0,0,90,Youssef El Arabi,youssef-el-arabi,F,False,0,15,1,0,1,0,0,0,90,Fran Rico,fran-rico,M,True,0.0,34.0,7.0,7.0,1.0,0.0,0.0,0.0,68.0,Rober Ibáñez,rober-ibanez,M,True,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,Thievy Bifouma,thievy-bifouma,M,True,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6807433,Away,4-4-2,Alphonse Aréola,alphonse-areola,G,False,0,4,13,2,0,0,1,0,90,Mario Gaspar,mario-gaspar,D,False,0,10,5,1,7,0,0,0,90,Eric Bailly,eric-bailly,D,False,0,22,7,3,7,0,0,0,90,Víctor Ruiz,victor-ruiz,D,False,0,29,6,4,4,0,0,0,90,Jaume Costa,jaume-costa,D,False,0,27,2,1,3,0,0,0,90,Matías Nahuel,matias-nahuel,M,False,0,13,1,0,0,0,0,0,59,Manu Trigueros,manu-trigueros,M,False,0,18,6,4,0,0,0,0,90,Tomás Pina,tomas-pina,M,False,0,18,3,2,4,0,0,0,90,Samu Castillejo,samu-castillejo,M,False,0,14,1,0,0,0,0,0,67,Cédric Bakambu,cedric-bakambu,F,False,0,23,0,0,1,0,0,0,80,Roberto Soldado,roberto-soldado,F,False,0,15,0,0,2,0,0,0,90,Denis Suárez,denis-suarez,M,True,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,Samu García,samu-garcia,M,True,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,Adrián López,adrian-lopez,F,True,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6807383,Home,4-3-3,Mathew Ryan,mathew-ryan,G,False,0,13,14,7,2,2,2,1,90,Antonio Barragán,antonio-barragan,D,False,0,21,2,1,1,0,0,0,84,Shkodran Mustafi,shkodran-mustafi,D,False,0,41,18,11,2,0,0,0,90,Rúben Vezo,ruben-vezo,D,False,0,37,10,8,7,0,0,0,90,José Luis Gayà,jose-luis-gaya,D,False,0,30,3,2,0,0,0,0,90,Danilo Barbosa,danilo-barbosa,M,False,0,17,3,3,0,0,0,0,62,Javi Fuego,javi-fuego,M,False,0,50,6,4,0,0,0,0,90,Rodrigo de Paul,rodrigo-de-paul,M,False,0,29,11,6,0,0,0,0,90,Santi Mina,santi-mina,F,False,0,12,1,1,0,0,0,0,63,Álvaro Negredo,alvaro-negredo,F,False,0,10,0,0,1,0,0,0,76,Rodrigo,rodrigo,F,False,0,16,2,0,1,0,0,0,90,Dani Parejo,dani-parejo,M,True,0.0,20.0,2.0,2.0,0.0,0.0,0.0,0.0,28.0,Sofiane Feghouli,sofiane-feghouli,M,True,0.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,27.0,Paco Alcácer,paco-alcacer,F,True,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6807383,Away,4-2-3-1,Germán Lux,german-lux,G,False,0,16,34,11,1,2,5,0,90,Laure,laure,D,False,0,28,6,1,3,0,0,0,90,Alejandro Arribas,alejandro-arribas,D,False,0,20,12,2,5,0,0,0,90,Sidnei,sidnei,D,False,0,25,6,4,7,0,0,0,90,Fernando Navarro,fernando-navarro,D,False,0,24,4,3,1,0,0,0,90,Celso Borges,celso-borges,M,False,0,33,2,1,0,0,0,0,90,Pedro Mosquera,pedro-mosquera,M,False,0,45,10,6,0,0,0,0,90,Juanfran,juanfran,D,False,0,19,2,0,1,0,0,0,72,Luis Alberto,luis-alberto,M,False,0,1,0,0,0,0,0,0,29,Fayçal Fajr,faycal-fajr,M,False,0,26,4,0,1,0,0,0,90,Lucas Pérez,lucas-perez,F,False,0,22,0,0,0,0,0,0,90,Luisinho,luisinho,D,True,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,61.0,Jonathan Rodríguez,jonathan-rodriguez,M,True,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,,,,,,,,,,,,,,13,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6807382,Home,4-2-3-1,Keylor Navas,keylor-navas,G,False,0,11,6,3,0,1,1,0,90,Danilo,danilo,D,False,0,68,1,0,3,0,0,0,90,Raphaël Varane,raphael-varane,D,False,0,36,2,2,7,0,0,0,90,Sergio Ramos,sergio-ramos,D,False,0,54,8,7,9,0,0,0,90,Marcelo,marcelo,D,False,0,54,10,5,1,0,0,0,90,Luka Modrić,luka-modric,M,False,0,59,5,5,1,0,0,0,75,Toni Kroos,toni-kroos,M,False,0,67,8,7,0,0,0,0,64,James Rodríguez,james-rodriguez,M,False,0,85,6,5,0,0,0,0,90,Gareth Bale,gareth-bale,F,False,0,27,1,1,1,0,0,0,90,Cristiano Ronaldo,cristiano-ronaldo,F,False,0,35,0,0,1,0,0,0,90,Karim Benzema,karim-benzema,F,False,0,16,2,2,0,0,0,0,53,Isco,isco,M,True,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,Casemiro,casemiro,M,True,0.0,23.0,6.0,5.0,1.0,0.0,0.0,0.0,26.0,Mateo Kovačić,mateo-kovacic,M,True,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6807382,Away,4-4-2,Antonio Adán,antonio-adan,G,False,0,3,20,2,2,3,5,1,90,Cristiano Piccini,cristiano-piccini,D,False,0,21,5,2,2,0,0,0,90,Germán Pezzella,german-pezzella,D,False,0,9,5,2,6,0,0,0,90,Bruno González,bruno-gonzalez,D,False,0,13,6,4,10,0,0,0,90,Francisco Molinero,francisco-molinero,D,False,0,14,1,1,2,0,0,0,45,Álvaro Cejudo,alvaro-cejudo,M,False,0,23,1,0,0,0,0,0,90,Xavi Torres,xavi-torres,D,False,0,36,12,9,1,0,0,0,90,Alfred N'Diaye,alfred-ndiaye,M,False,0,13,1,0,3,0,0,0,81,Juan Manuel Vargas,juan-manuel-vargas,D,False,0,24,1,0,2,0,0,0,90,Dani Ceballos,dani-ceballos,M,False,0,27,2,2,0,0,0,0,53,Rubén Castro,ruben-castro,F,False,0,14,1,1,0,0,0,0,90,Jorge Molina,jorge-molina,F,True,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,45.0,Didier Digard,didier-digard,M,True,0.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,37.0,Petros,petros,M,True,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6807432,Home,4-4-2,Iván Cuéllar,ivan-cuellar,G,False,0,12,26,10,4,1,2,2,90,Alberto Lora,alberto-lora,M,False,0,30,4,0,4,0,0,0,90,Luis Hernández,luis-hernandez,D,False,0,22,7,4,5,0,0,0,90,Bernardo Espinosa,bernardo-espinosa,D,False,0,22,12,2,11,0,0,0,90,Isma López,isma-lopez,D,False,0,25,4,2,2,0,0,0,90,Pablo Pérez,pablo-perez,M,False,0,25,0,0,1,0,0,0,82,Sergio Álvarez,sergio-alvarez,M,False,0,28,6,1,3,0,0,0,90,Omar Mascarell,omar-mascarell,M,False,0,26,3,1,1,0,0,0,61,Jony,jony,M,False,0,19,3,1,0,0,0,0,90,Alen Halilović,alen-halilovic,M,False,0,19,1,1,0,0,0,0,70,Antonio Sanabria,antonio-sanabria,F,False,0,20,3,2,1,0,0,0,90,Nacho Cases,nacho-cases,M,True,0.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,29.0,Miguel Ángel Guerrero,miguel-angel-guerrero,F,True,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,Carlos Carmona,carlos-carmona,M,True,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6807432,Away,4-3-3,Jaume Doménech,jaume-domenech,G,False,0,13,18,8,2,6,8,1,90,João Cancelo,joao-cancelo,D,False,0,45,6,2,5,0,0,0,90,Shkodran Mustafi,shkodran-mustafi,D,False,0,41,9,3,5,0,0,0,90,Aymen Abdennour,aymen-abdennour,D,False,0,44,13,11,3,0,0,0,90,José Luis Gayà,jose-luis-gaya,D,False,0,44,5,2,5,0,0,0,90,Dani Parejo,dani-parejo,M,False,0,61,7,6,0,0,0,0,90,Javi Fuego,javi-fuego,M,False,0,62,7,4,1,0,0,0,90,Enzo Pérez,enzo-perez,M,False,0,52,4,3,0,0,0,0,67,Sofiane Feghouli,sofiane-feghouli,M,False,0,36,5,2,0,0,0,0,90,Álvaro Negredo,alvaro-negredo,F,False,0,12,1,0,1,0,0,0,75,Pablo Piatti,pablo-piatti,F,False,0,33,2,0,0,0,0,0,82,André Gomes,andre-gomes,M,True,0.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0,23.0,Paco Alcácer,paco-alcacer,F,True,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,Zakaria Bakkali,zakaria-bakkali,F,True,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6807386,Home,4-2-3-1,Gerónimo Rulli,geronimo-rulli,G,False,0,19,10,5,0,1,2,0,90,Aritz Elustondo,aritz-elustondo,D,False,0,36,5,1,4,0,0,0,90,Diego Reyes,diego-reyes,D,False,0,44,5,4,4,0,0,0,90,Iñigo Martínez,inigo-martinez,D,False,0,45,13,7,4,0,0,0,90,Alberto de la Bella,alberto-de-la-bella,D,False,0,36,3,0,2,0,0,0,90,Asier Illarramendi,asier-illarramendi,M,False,0,45,2,2,1,0,0,0,75,Rubén Pardo,ruben-pardo,M,False,0,56,12,8,1,0,0,0,90,Xabi Prieto,xabi-prieto,M,False,0,34,1,1,1,0,0,0,71,Carlos Vela,carlos-vela,F,False,0,34,4,2,0,0,0,0,90,Bruma,bruma,M,False,0,34,0,0,1,0,0,0,71,Jonathas,jonathas,F,False,0,8,1,1,2,0,0,0,90,Gonzalo Castro,gonzalo-castro,M,True,0.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,19.0,Sergio Canales,sergio-canales,M,True,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,Markel Bergara,markel-bergara,M,True,0.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,15.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6807386,Away,4-4-2,Iván Cuéllar,ivan-cuellar,G,False,0,4,28,3,1,1,1,0,90,Alberto Lora,alberto-lora,M,False,0,27,4,2,0,0,0,0,90,Luis Hernández,luis-hernandez,D,False,0,24,8,3,7,0,0,0,90,Bernardo Espinosa,bernardo-espinosa,D,False,0,18,7,4,20,0,0,0,90,Isma López,isma-lopez,D,False,0,21,3,1,2,0,0,0,90,Carlos Carmona,carlos-carmona,M,False,0,16,1,0,0,0,0,0,56,Sergio Álvarez,sergio-alvarez,M,False,0,25,6,2,0,0,0,0,68,Nacho Cases,nacho-cases,M,False,0,36,1,0,2,0,0,0,90,Jony,jony,M,False,0,20,2,1,1,0,0,0,90,Miguel Ángel Guerrero,miguel-angel-guerrero,F,False,0,6,1,1,0,0,0,0,77,Antonio Sanabria,antonio-sanabria,F,False,0,21,2,2,2,0,0,0,90,Alen Halilović,alen-halilovic,M,True,0.0,10.0,2.0,1.0,0.0,0.0,0.0,0.0,34.0,Omar Mascarell,omar-mascarell,M,True,0.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0,22.0,Juan Muñiz,juan-muniz,M,True,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6807387,Home,4-4-2,Antonio Adán,antonio-adan,G,False,0,7,28,6,0,3,3,0,90,Cristiano Piccini,cristiano-piccini,D,False,0,21,1,1,2,0,0,0,78,Bruno González,bruno-gonzalez,D,False,0,20,5,2,7,0,0,0,90,Heiko Westermann,heiko-westermann,D,False,0,22,8,0,12,0,0,0,90,Juan Manuel Vargas,juan-manuel-vargas,D,False,0,15,6,0,2,0,0,0,90,Joaquín,joaquin,M,False,0,18,2,0,0,0,0,0,66,Petros,petros,M,False,0,21,2,0,0,0,0,0,45,Alfred N'Diaye,alfred-ndiaye,M,False,0,21,4,2,3,0,0,0,90,Francisco Portillo,francisco-portillo,M,False,0,37,3,2,1,0,0,0,90,Rubén Castro,ruben-castro,F,False,0,20,2,1,0,0,0,0,90,Jorge Molina,jorge-molina,F,False,0,6,0,0,0,0,0,0,45,Dani Ceballos,dani-ceballos,M,True,0.0,8.0,2.0,1.0,0.0,0.0,0.0,0.0,45.0,Álvaro Cejudo,alvaro-cejudo,M,True,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,24.0,Francisco Molinero,francisco-molinero,D,True,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,12.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6807387,Away,4-2-3-1,Gerónimo Rulli,geronimo-rulli,G,False,0,12,19,8,1,1,1,1,90,Aritz Elustondo,aritz-elustondo,D,False,0,27,3,1,0,0,0,0,90,Diego Reyes,diego-reyes,D,False,0,40,4,2,6,0,0,0,90,Mikel González,mikel-gonzalez,D,False,0,35,6,3,5,0,0,0,90,Alberto de la Bella,alberto-de-la-bella,D,False,0,27,7,3,4,0,0,0,70,Rubén Pardo,ruben-pardo,M,False,0,45,8,6,0,0,0,0,81,Asier Illarramendi,asier-illarramendi,M,False,0,61,5,4,1,0,0,0,90,Bruma,bruma,M,False,0,41,0,0,0,0,0,0,90,Carlos Vela,carlos-vela,F,False,0,26,4,1,0,0,0,0,90,Xabi Prieto,xabi-prieto,M,False,0,10,1,0,1,0,0,0,45,Jonathas,jonathas,F,False,0,26,2,2,0,0,0,0,90,Gonzalo Castro,gonzalo-castro,M,True,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,Imanol Agirretxe,imanol-agirretxe,F,True,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,Sergio Canales,sergio-canales,M,True,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6807405,Home,4-3-3,Sergio Álvarez,sergio-alvarez,G,False,0,20,12,5,0,0,0,0,90,Hugo Mallo,hugo-mallo,D,False,0,35,1,0,1,0,0,0,90,Gustavo Cabral,gustavo-cabral,D,False,0,90,9,3,2,0,0,0,90,Andreu Fontàs,andreu-fontas,D,False,0,90,13,8,2,0,0,0,90,Jonny Otto,jonny-otto,D,False,0,29,0,0,2,0,0,0,70,Daniel Wass,daniel-wass,M,False,0,45,9,4,0,0,0,0,85,Augusto Fernández,augusto-fernandez,M,False,0,95,8,4,0,0,0,0,90,Pablo Hernández,pablo-hernandez,M,False,0,46,5,5,3,0,0,0,78,Fabián Orellana,fabian-orellana,F,False,0,49,5,4,1,0,0,0,90,Iago Aspas,iago-aspas,F,False,0,21,0,0,0,0,0,0,90,Nolito,nolito,M,False,0,39,4,3,0,0,0,0,90,Carles Planas,carles-planas,D,True,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,John Guidetti,john-guidetti,F,True,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,Nemanja Radoja,nemanja-radoja,M,True,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6807405,Away,4-2-3-1,Toño,tono,G,False,0,2,4,2,0,0,0,0,9,Quini,quini,D,False,0,19,9,2,3,0,0,0,90,Diego Llorente,diego-llorente,D,False,0,35,2,2,2,0,0,0,90,Zé Castro,ze-castro,D,False,0,5,7,1,0,0,0,0,25,Nacho Martínez,nacho-martinez,D,False,0,31,8,4,2,0,0,0,90,Roberto Trashorras,roberto-trashorras,M,False,0,44,10,3,0,0,0,0,90,Raúl Baena,raul-baena,M,False,0,14,1,0,0,0,0,0,90,Lass Bangoura,lass-bangoura,F,False,0,12,1,0,0,0,0,0,90,Patrick Ebert,patrick-ebert,M,False,0,32,2,1,1,0,0,0,90,Bebé,bebe,M,False,0,1,0,0,0,0,0,0,10,Manucho,manucho,F,False,0,11,0,0,1,0,0,0,72,Juan Carlos,juan-carlos,G,True,0.0,14.0,17.0,7.0,1.0,4.0,4.0,0.0,80.0,Antonio Amaya,antonio-amaya,D,True,0.0,15.0,4.0,2.0,4.0,0.0,0.0,0.0,65.0,Miku Fedor,miku-fedor,F,True,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6807481,Home,4-2-3-1,Carlos Kameni,carlos-kameni,G,False,0,24,13,7,0,0,0,0,90,Roberto Rosales,roberto-rosales,D,False,0,20,7,1,3,0,0,0,90,Raúl Albentosa,raul-albentosa,D,False,0,31,18,8,3,0,0,0,90,Marcos Angeleri,marcos-angeleri,D,False,0,33,11,6,5,0,0,0,90,Arthur Boka,arthur-boka,D,False,0,37,6,4,4,0,0,0,90,Recio,recio,M,False,0,40,5,1,1,0,0,0,90,Fernando Tissone,fernando-tissone,M,False,0,36,8,5,1,0,0,0,90,Ricardo Horta,ricardo-horta,M,False,0,12,3,1,0,0,0,0,55,Nordin Amrabat,nordin-amrabat,M,False,0,11,2,1,0,0,0,0,83,Juankar,juankar,D,False,0,16,0,0,0,0,0,0,68,Charles Días,charles-dias,F,False,0,15,0,0,1,0,0,0,90,Duda,duda,M,True,0.0,14.0,2.0,1.0,0.0,0.0,0.0,0.0,35.0,Duje Čop,duje-cop,F,True,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,Adnane Tighadouini,adnane-tighadouini,F,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
