EventId,Team,Formation,Player1_Name,Player1_code,Player1_Position,Player1_substitute,Player1_Rating,Player1_accuratePass,Player1_totalLongBalls,Player1_accurateLongBalls,Player1_totalClearance,Player1_savedShotsFromInsideTheBox,Player1_saves,Player1_punches,Player1_minutesPlayed,Player2_Name,Player2_code,Player2_Position,Player2_substitute,Player2_Rating,Player2_accuratePass,Player2_totalLongBalls,Player2_accurateLongBalls,Player2_totalClearance,Player2_savedShotsFromInsideTheBox,Player2_saves,Player2_punches,Player2_minutesPlayed,Player3_Name,Player3_code,Player3_Position,Player3_substitute,Player3_Rating,Player3_accuratePass,Player3_totalLongBalls,Player3_accurateLongBalls,Player3_totalClearance,Player3_savedShotsFromInsideTheBox,Player3_saves,Player3_punches,Player3_minutesPlayed,Player4_Name,Player4_code,Player4_Position,Player4_substitute,Player4_Rating,Player4_accuratePass,Player4_totalLongBalls,Player4_accurateLongBalls,Player4_totalClearance,Player4_savedShotsFromInsideTheBox,Player4_saves,Player4_punches,Player4_minutesPlayed,Player5_Name,Player5_code,Player5_Position,Player5_substitute,Player5_Rating,Player5_accuratePass,Player5_totalLongBalls,Player5_accurateLongBalls,Player5_totalClearance,Player5_savedShotsFromInsideTheBox,Player5_saves,Player5_punches,Player5_minutesPlayed,Player6_Name,Player6_code,Player6_Position,Player6_substitute,Player6_Rating,Player6_accuratePass,Player6_totalLongBalls,Player6_accurateLongBalls,Player6_totalClearance,Player6_savedShotsFromInsideTheBox,Player6_saves,Player6_punches,Player6_minutesPlayed,Player7_Name,Player7_code,Player7_Position,Player7_substitute,Player7_Rating,Player7_accuratePass,Player7_totalLongBalls,Player7_accurateLongBalls,Player7_totalClearance,Player7_savedShotsFromInsideTheBox,Player7_saves,Player7_punches,Player7_minutesPlayed,Player8_Name,Player8_code,Player8_Position,Player8_substitute,Player8_Rating,Player8_accuratePass,Player8_totalLongBalls,Player8_accurateLongBalls,Player8_totalClearance,Player8_savedShotsFromInsideTheBox,Player8_saves,Player8_punches,Player8_minutesPlayed,Player9_Name,Player9_code,Player9_Position,Player9_substitute,Player9_Rating,Player9_accuratePass,Player9_totalLongBalls,Player9_accurateLongBalls,Player9_totalClearance,Player9_savedShotsFromInsideTheBox,Player9_saves,Player9_punches,Player9_minutesPlayed,Player10_Name,Player10_code,Player10_Position,Player10_substitute,Player10_Rating,Player10_accuratePass,Player10_totalLongBalls,Player10_accurateLongBalls,Player10_totalClearance,Player10_savedShotsFromInsideTheBox,Player10_saves,Player10_punches,Player10_minutesPlayed,Player11_Name,Player11_code,Player11_Position,Player11_substitute,Player11_Rating,Player11_accuratePass,Player11_totalLongBalls,Player11_accurateLongBalls,Player11_totalClearance,Player11_savedShotsFromInsideTheBox,Player11_saves,Player11_punches,Player11_minutesPlayed,Player12_Name,Player12_code,Player12_Position,Player12_substitute,Player12_Rating,Player12_accuratePass,Player12_totalLongBalls,Player12_accurateLongBalls,Player12_totalClearance,Player12_savedShotsFromInsideTheBox,Player12_saves,Player12_punches,Player12_minutesPlayed,Player13_Name,Player13_code,Player13_Position,Player13_substitute,Player13_Rating,Player13_accuratePass,Player13_totalLongBalls,Player13_accurateLongBalls,Player13_totalClearance,Player13_savedShotsFromInsideTheBox,Player13_saves,Player13_punches,Player13_minutesPlayed,PlayerCount,AverageTeamRating,Player14_Name,Player14_code,Player14_Position,Player14_substitute,Player14_Rating,Player14_accuratePass,Player14_totalLongBalls,Player14_accurateLongBalls,Player14_totalClearance,Player14_savedShotsFromInsideTheBox,Player14_saves,Player14_punches,Player14_minutesPlayed
7895283,Home,4-1-4-1,Alberto Garcia,alberto-garcia,G,False,0,14,14,5,0,3,3,0,90,Tito,tito,D,False,0,44,5,1,4,0,0,0,90,Abdoulaye Ba,abdoulaye-ba,D,False,0,44,10,8,8,0,0,0,90,Dorado,dorado,D,False,0,47,6,3,5,0,0,0,90,Álex Moreno,alex-moreno,D,False,0,24,1,0,2,0,0,0,90,Jordi Amat,jordi-amat,D,False,0,28,3,3,2,0,0,0,90,Gaël Kakuta,gael-kakuta,M,False,0,25,1,1,1,0,0,0,90,Álvaro Medrán,alvaro-medran,M,False,0,32,1,0,0,0,0,0,68,José Pozo,jose-pozo,M,False,0,25,0,0,0,0,0,0,76,Adrián Embarba,adrian-embarba,M,False,0,16,0,0,1,0,0,0,90,Óscar Trejo,oscar-trejo,M,False,0,36,1,0,0,0,0,0,90,Javi Guerra,javi-guerra,F,True,0,7,0,0,0,0,0,0,22,Luis Advíncula,luis-advincula,D,True,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,13,0.0,,,,,,,,,,,,,
7895283,Away,3-4-2-1,Tomáš Vaclík,tomas-vaclik,G,False,0,17,27,6,2,1,1,1,90,Gabriel Mercado,gabriel-mercado,D,False,0,36,6,4,1,0,0,0,90,Simon Kjær,simon-kjaer,D,False,0,40,3,1,4,0,0,0,90,Sergi Gómez,sergi-gomez,D,False,0,42,8,5,4,0,0,0,90,Jesús Navas,jesus-navas,D,False,0,29,7,6,0,0,0,0,90,Roque Mesa,roque-mesa,M,False,0,44,3,3,0,0,0,0,90,Éver Banega,ever-banega,M,False,0,61,16,12,0,0,0,0,70,Sergio Escudero,sergio-escudero,D,False,0,27,3,2,2,0,0,0,61,Pablo Sarabia,pablo-sarabia,F,False,0,21,1,1,0,0,0,0,77,Franco Vázquez,franco-vazquez,F,False,0,23,2,1,1,0,0,0,90,André Silva,andre-silva,F,False,0,15,0,0,1,0,0,0,90,Aleix Vidal,aleix-vidal,D,True,0,4,0,0,2,0,0,0,29,Ibrahim Amadou,ibrahim-amadou,M,True,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,14,0.0,Luis Muriel,luis-muriel,F,True,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
7895282,Home,4-3-3,Bono,bono,G,False,0,13,6,4,1,0,1,1,90,Pedro Porro,pedro-porro,D,False,0,39,6,5,3,0,0,0,90,Juanpe,juanpe,D,False,0,72,12,9,1,0,0,0,90,Bernardo Espinosa,bernardo-espinosa,D,False,0,84,14,11,4,0,0,0,90,Marc Muniesa,marc-muniesa,D,False,0,69,8,4,2,0,0,0,90,Alex Granell,alex-granell,M,False,0,64,16,12,1,0,0,0,90,David Timor,david-timor,M,False,0,45,6,6,0,0,0,0,74,Aleix García,aleix-garcia,M,False,0,36,2,2,0,0,0,0,62,Portu,portu,F,False,0,11,0,0,0,0,0,0,90,Cristhian Stuani,cristhian-stuani,F,False,0,11,0,0,1,0,0,0,81,Borja García,borja-garcia,M,False,0,42,6,4,1,0,0,0,90,Anthony Lozano,anthony-lozano,F,True,0,4,1,0,0,0,0,0,28,Pere Pons,pere-pons,M,True,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,14,0.0,Patrick Roberts,patrick-roberts,M,True,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0
7895282,Away,4-2-3-1,Jordi Masip,jordi-masip,G,False,0,10,36,8,0,0,2,0,90,Javi Moyano,javi-moyano,D,False,0,13,5,2,3,0,0,0,90,Kiko Olivas,kiko-olivas,D,False,0,23,4,2,6,0,0,0,90,Fernando Calero,fernando-calero,D,False,0,21,7,2,9,0,0,0,90,Nacho Martínez,nacho-martinez,D,False,0,17,9,1,3,0,0,0,90,Borja Fernández,borja-fernandez,M,False,0,19,7,4,4,0,0,0,90,Rubén Alcaraz,ruben-alcaraz,M,False,0,27,7,1,1,0,0,0,90,Keko,keko,F,False,0,11,1,1,1,0,0,0,90,Anuar,anuar,M,False,0,9,0,0,2,0,0,0,71,Toni Villa,toni-villa,M,False,0,11,0,0,0,0,0,0,88,Chris Ramos,chris-ramos,F,False,0,3,0,0,1,0,0,0,64,Óscar Plano,oscar-plano,F,True,0,4,0,0,0,0,0,0,26,Daniele Verde,daniele-verde,F,True,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,14,0.0,Míchel Herrero,michel-herrero,M,True,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
7895286,Home,4-2-3-1,Sergio Álvarez,sergio-alvarez,G,False,0,15,21,8,0,3,4,0,90,Hugo Mallo,hugo-mallo,D,False,0,19,5,1,3,0,0,0,90,Néstor Araujo,nestor-araujo,D,False,0,40,7,2,1,0,0,0,90,Gustavo Cabral,gustavo-cabral,D,False,0,45,5,2,3,0,0,0,90,Junior Alonso,junior-alonso,D,False,0,34,6,2,1,0,0,0,90,Fran Beltrán,fran-beltran,M,False,0,45,4,2,1,0,0,0,90,Stanislav Lobotka,stanislav-lobotka,M,False,0,31,2,0,1,0,0,0,90,Brais Méndez,brais-mendez,M,False,0,20,4,2,1,0,0,0,77,Iago Aspas,iago-aspas,F,False,0,29,4,4,1,0,0,0,90,Pione Sisto,pione-sisto,M,False,0,16,2,1,0,0,0,0,52,Maximiliano Gómez,maximiliano-gomez,F,False,0,8,1,0,3,0,0,0,89,Emre Mor,emre-mor,M,True,0,5,1,1,0,0,0,0,38,Sofiane Boufal,sofiane-boufal,F,True,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,14,0.0,Dennis Eckert Ayensa,dennis-eckert-ayensa,F,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7895286,Away,4-3-3,Diego López,diego-lopez,G,False,0,7,13,2,1,1,2,1,90,Javi López,javi-lopez,D,False,0,41,5,2,2,0,0,0,90,David López,david-lopez,D,False,0,33,4,1,3,0,0,0,90,Mario Hermoso,mario-hermoso,D,False,0,27,8,6,3,0,0,0,90,Dídac Vila,didac-vila,D,False,0,32,4,2,3,0,0,0,90,Víctor Sánchez,victor-sanchez,M,False,0,36,1,1,0,0,0,0,90,Marc Roca,marc-roca,M,False,0,60,1,1,3,0,0,0,90,Sergi Darder,sergi-darder,M,False,0,30,3,2,0,0,0,0,90,Léo Baptistão,leo-baptistao,F,False,0,26,3,3,0,0,0,0,71,Borja Iglesias,borja-iglesias,F,False,0,9,0,0,0,0,0,0,71,Pablo Piatti,pablo-piatti,F,False,0,19,2,1,2,0,0,0,81,Hernán Pérez,hernan-perez,M,True,0,7,0,0,1,0,0,0,19,Sergio García,sergio-garcia,F,True,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,14,0.0,Javi Puado,javi-puado,M,True,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
7895289,Home,3-1-4-2,Pau López,pau-lopez,G,False,0,18,6,4,0,1,1,0,90,Aïssa Mandi,aissa-mandi,D,False,0,91,4,4,1,0,0,0,90,Marc Bartra,marc-bartra,D,False,0,84,11,8,5,0,0,0,90,Zouhair Feddal,zouhair-feddal,D,False,0,89,13,9,4,0,0,0,90,William Carvalho,william-carvalho,M,False,0,68,8,7,1,0,0,0,66,Francis Guerrero,francis-guerrero,M,False,0,43,1,0,0,0,0,0,74,Sergio Canales,sergio-canales,M,False,0,68,3,2,0,0,0,0,90,Andrés Guardado,andres-guardado,M,False,0,72,5,3,0,0,0,0,90,Junior Firpo,junior-firpo,D,False,0,47,3,2,0,0,0,0,90,Ryad Boudebouz,ryad-boudebouz,F,False,0,22,0,0,1,0,0,0,63,Loren Morón,loren-moron,F,False,0,13,0,0,1,0,0,0,90,Antonio Sanabria,antonio-sanabria,F,True,0,3,0,0,0,0,0,0,27,Takashi Inui,takashi-inui,M,True,0.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,24.0,14,0.0,Antonio Barragán,antonio-barragan,D,True,0.0,11.0,1.0,1.0,1.0,0.0,0.0,0.0,16.0
7895289,Away,4-4-2,Oier Olazábal,oier-olazabal,G,False,0,8,25,4,2,3,8,1,90,Coke,coke,D,False,0,11,3,1,3,0,0,0,90,Sergio Postigo,sergio-postigo,D,False,0,7,7,1,6,0,0,0,90,Chema,chema,D,False,0,7,3,1,13,0,0,0,90,Toño,tono,D,False,0,14,3,1,1,0,0,0,90,Jason,jason,M,False,0,9,2,0,2,0,0,0,89,Cheick Doukouré,cheick-doukoure,M,False,0,5,0,0,2,0,0,0,68,José Campaña,jose-campana,M,False,0,32,4,3,3,0,0,0,90,Enis Bardhi,enis-bardhi,M,False,0,12,0,0,1,0,0,0,90,José Luis Morales,jose-luis-morales,F,False,0,12,1,1,0,0,0,0,90,Roger Martí,roger-marti,F,False,0,6,0,0,0,0,0,0,74,Sanjin Prcić,sanjin-prcic,M,True,0,5,0,0,1,0,0,0,22,Antonio Luna,antonio-luna,D,True,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,14,0.0,Raphael Dwamena,raphael-dwamena,F,True,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7895280,Home,4-3-3,Unai Simón,unai-simon,G,False,0,10,7,5,0,1,1,0,90,Óscar de Marcos,oscar-de-marcos,D,False,0,36,4,1,3,0,0,0,65,Yeray Álvarez,yeray-alvarez,D,False,0,63,10,6,3,0,0,0,90,Peru Nolaskoain Esnal,peru-nolaskoain-esnal,M,False,0,65,7,5,5,0,0,0,90,Yuri Berchiche,yuri-berchiche,D,False,0,44,5,1,1,0,0,0,90,Unai López,unai-lopez,M,False,0,71,8,6,0,0,0,0,76,Dani García,dani-garcia,M,False,0,75,13,8,1,0,0,0,90,Iker Muniain,iker-muniain,M,False,0,52,2,1,0,0,0,0,90,Markel Susaeta,markel-susaeta,M,False,0,22,2,0,1,0,0,0,90,Aritz Aduriz,aritz-aduriz,F,False,0,3,0,0,0,0,0,0,70,Iñaki Williams,inaki-williams,M,False,0,18,0,0,1,0,0,0,90,Ander Capa,ander-capa,D,True,0,12,1,0,0,0,0,0,25,Iñigo Cordoba,inigo-cordoba,M,True,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,14,0.0,Raúl García,raul-garcia,M,True,0.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,14.0
7895280,Away,4-4-1-1,Iván Cuéllar,ivan-cuellar,G,False,0,14,25,9,0,3,3,0,90,Juanfran,juanfran,D,False,0,13,6,2,1,0,0,0,90,Ezequiel Muñoz,ezequiel-munoz,D,False,0,12,4,2,6,0,0,0,90,Dimitrios Siovas,dimitrios-siovas,D,False,0,13,3,2,7,0,0,0,90,Raúl Carnero,raul-carnero,D,False,0,16,3,2,4,0,0,0,90,Nabil El Zhar,nabil-el-zhar,M,False,0,20,5,4,0,0,0,0,65,Rubén Pérez,ruben-perez,M,False,0,32,9,7,1,0,0,0,90,Gerard Gumbau,gerard-gumbau,M,False,0,25,6,1,3,0,0,0,90,Jonathan Silva,jonathan-silva,D,False,0,9,1,0,2,0,0,0,90,Javier Eraso,javier-eraso,M,False,0,17,0,0,1,0,0,0,58,Guido Carrillo,guido-carrillo,F,False,0,26,0,0,3,0,0,0,85,Michael Santos,michael-santos,F,True,0,6,0,0,0,0,0,0,32,Daniel Ojeda,daniel-ojeda,M,True,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,25.0,14,0.0,Youssef En-Nesyri,youssef-en-nesyri,F,True,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
7895285,Home,4-4-2,Neto,neto,G,False,0,12,16,6,1,2,2,0,90,Cristiano Piccini,cristiano-piccini,D,False,0,40,2,2,2,0,0,0,90,Ezequiel Garay,ezequiel-garay,D,False,0,54,5,2,6,0,0,0,67,Gabriel Paulista,gabriel-paulista,D,False,0,54,11,9,10,0,0,0,90,José Luis Gayà,jose-luis-gaya,D,False,0,42,3,2,3,0,0,0,90,Carlos Soler,carlos-soler,M,False,0,26,0,0,0,0,0,0,76,Dani Parejo,dani-parejo,M,False,0,51,3,2,0,0,0,0,90,Geoffrey Kondogbia,geoffrey-kondogbia,M,False,0,65,7,7,1,0,0,0,90,Daniel Wass,daniel-wass,M,False,0,26,4,2,0,0,0,0,90,Rodrigo,rodrigo,F,False,0,19,3,1,2,0,0,0,90,Santi Mina,santi-mina,F,False,0,7,0,0,2,0,0,0,67,Mouctar Diakhaby,mouctar-diakhaby,D,True,0,8,1,0,4,0,0,0,23,Kévin Gameiro,kevin-gameiro,F,True,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,14,0.0,Michy Batshuayi,michy-batshuayi,F,True,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
7895285,Away,4-4-2,Jan Oblak,jan-oblak,G,False,0,5,21,5,1,2,3,0,90,Juanfran,juanfran,D,False,0,54,2,1,2,0,0,0,90,Stefan Savić,stefan-savic,D,False,0,30,8,4,6,0,0,0,90,Diego Godín,diego-godin,D,False,0,15,6,3,4,0,0,0,90,Filipe Luís,filipe-luis,D,False,0,35,4,0,0,0,0,0,90,Ángel Correa,angel-correa,F,False,0,27,1,1,1,0,0,0,81,Koke,koke,M,False,0,76,9,7,0,0,0,0,90,Saúl Ñíguez,saul-niguez,M,False,0,50,5,4,2,0,0,0,90,Thomas Lemar,thomas-lemar,M,False,0,19,0,0,0,0,0,0,63,Diego Costa,diego-costa,F,False,0,18,0,0,1,0,0,0,90,Antoine Griezmann,antoine-griezmann,F,False,0,27,1,0,0,0,0,0,72,Vitolo,vitolo,M,True,0,7,0,0,0,0,0,0,27,Gelson Martins,gelson-martins,M,True,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,14,0.0,Thomas Partey,thomas-partey,M,True,0.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0
7895337,Home,4-4-2,David Soria,david-soria,G,False,0,15,37,14,2,0,0,0,90,Damián Suárez,damian-suarez,D,False,0,15,7,3,1,0,0,0,90,Djené,djene,D,False,0,9,9,3,9,0,0,0,90,Bruno González,bruno-gonzalez,D,False,0,11,6,4,16,0,0,0,90,Vitorino Antunes,vitorino-antunes,D,False,0,12,6,3,4,0,0,0,90,Iván Alejo,ivan-alejo,M,False,0,7,4,1,1,0,0,0,71,Mauro Arambarri,mauro-arambarri,M,False,0,9,4,1,2,0,0,0,90,Nemanja Maksimović,nemanja-maksimovic,M,False,0,6,4,0,2,0,0,0,90,Francisco Portillo,francisco-portillo,M,False,0,16,1,0,0,0,0,0,90,Ángel Rodríguez,angel-rodriguez,F,False,0,6,2,2,1,0,0,0,86,Jaime Mata,jaime-mata,M,False,0,7,2,1,2,0,0,0,80,Amath Ndiaye,amath-ndiaye,F,True,0,5,0,0,0,0,0,0,19,Jorge Molina,jorge-molina,F,True,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,14,0.0,Leandro Cabrera,leandro-cabrera,D,True,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0
7895337,Away,4-4-2,Marko Dmitrović,marko-dmitrovic,G,False,0,10,18,8,1,2,2,0,90,Rubén Peña,ruben-pena,D,False,0,33,11,6,1,0,0,0,90,Paulo Oliveira,paulo-oliveira,D,False,0,19,9,2,2,0,0,0,90,Anaitz Arbilla,anaitz-arbilla,D,False,0,35,19,5,3,0,0,0,90,José Ángel,jose-angel,D,False,0,23,17,4,2,0,0,0,90,Joan Jordán,joan-jordan,M,False,0,28,6,3,0,0,0,0,84,Gonzalo Escalante,gonzalo-escalante,M,False,0,27,5,2,0,0,0,0,90,Papakouli Diop,papakouli-diop,M,False,0,29,6,1,0,0,0,0,90,Pere Milla,pere-milla,F,False,0,11,1,0,0,0,0,0,67,Kike García,kike-garcia,F,False,0,17,2,1,0,0,0,0,75,Sergi Enrich,sergi-enrich,F,False,0,29,0,0,0,0,0,0,90,Pablo Hervías,pablo-hervias,M,True,0,6,0,0,0,0,0,0,23,Charles Días,charles-dias,F,True,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,15.0,14,0.0,Bebé,bebe,M,True,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
7895281,Home,4-3-3,Keylor Navas,keylor-navas,G,False,0,32,11,7,0,1,1,0,90,Daniel Carvajal,daniel-carvajal,D,False,0,65,4,2,0,0,0,0,90,Nacho Fernández,nacho-fernandez,D,False,0,61,8,6,3,0,0,0,90,Sergio Ramos,sergio-ramos,D,False,0,82,12,10,1,0,0,0,90,Marcelo,marcelo,D,False,0,90,13,8,0,0,0,0,90,Dani Ceballos,dani-ceballos,M,False,0,60,2,2,0,0,0,0,71,Toni Kroos,toni-kroos,M,False,0,117,16,16,0,0,0,0,90,Isco,isco,M,False,0,49,2,2,0,0,0,0,58,Gareth Bale,gareth-bale,F,False,0,30,3,3,0,0,0,0,77,Karim Benzema,karim-benzema,F,False,0,30,0,0,1,0,0,0,90,Marco Asensio,marco-asensio,F,False,0,53,2,2,0,0,0,0,90,Casemiro,casemiro,M,True,0,29,9,7,2,0,0,0,32,Luka Modrić,luka-modric,M,True,0.0,13.0,1.0,1.0,1.0,0.0,0.0,0.0,19.0,14,0.0,Lucas Vázquez,lucas-vazquez,D,True,0.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,13.0
7895281,Away,4-1-4-1,David Soria,david-soria,G,False,0,9,28,9,2,1,1,2,90,Damián Suárez,damian-suarez,D,False,0,16,4,1,2,0,0,0,90,Djené,djene,D,False,0,21,6,4,2,0,0,0,90,Bruno González,bruno-gonzalez,D,False,0,14,7,1,4,0,0,0,90,Leandro Cabrera,leandro-cabrera,D,False,0,10,3,0,1,0,0,0,90,Nemanja Maksimović,nemanja-maksimovic,M,False,0,10,0,0,0,0,0,0,90,Francisco Portillo,francisco-portillo,M,False,0,11,1,0,0,0,0,0,64,Mauro Arambarri,mauro-arambarri,M,False,0,17,2,2,1,0,0,0,90,Gaku Shibasaki,gaku-shibasaki,M,False,0,17,0,0,1,0,0,0,90,Amath Ndiaye,amath-ndiaye,F,False,0,5,0,0,0,0,0,0,58,Jorge Molina,jorge-molina,F,False,0,4,0,0,0,0,0,0,71,Jaime Mata,jaime-mata,M,True,0,8,1,0,1,0,0,0,32,Iván Alejo,ivan-alejo,M,True,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,14,0.0,Ángel Rodríguez,angel-rodriguez,F,True,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
7895325,Home,4-3-3,Bono,bono,G,False,0,14,20,7,0,3,4,0,90,Pedro Porro,pedro-porro,D,False,0,24,8,4,0,0,0,0,79,Juanpe,juanpe,D,False,0,23,5,2,4,0,0,0,90,Bernardo Espinosa,bernardo-espinosa,D,False,0,32,2,0,9,0,0,0,90,Marc Muniesa,marc-muniesa,D,False,0,29,7,3,1,0,0,0,90,Pere Pons,pere-pons,M,False,0,10,1,1,2,0,0,0,71,David Timor,david-timor,M,False,0,29,7,4,3,0,0,0,90,Alex Granell,alex-granell,M,False,0,34,2,1,3,0,0,0,90,Portu,portu,F,False,0,16,2,1,0,0,0,0,90,Anthony Lozano,anthony-lozano,F,False,0,13,2,1,0,0,0,0,58,Borja García,borja-garcia,M,False,0,29,3,1,0,0,0,0,90,Cristhian Stuani,cristhian-stuani,F,True,0,5,0,0,1,0,0,0,32,Aleix García,aleix-garcia,M,True,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,14,0.0,Aday Benítez,aday-benitez,M,True,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0
7895325,Away,4-2-3-1,Keylor Navas,keylor-navas,G,False,0,25,7,3,1,2,4,0,90,Daniel Carvajal,daniel-carvajal,D,False,0,69,6,4,2,0,0,0,90,Nacho Fernández,nacho-fernandez,D,False,0,63,6,5,3,0,0,0,90,Sergio Ramos,sergio-ramos,D,False,0,55,5,5,2,0,0,0,90,Marcelo,marcelo,D,False,0,35,3,1,1,0,0,0,60,Casemiro,casemiro,M,False,0,64,6,5,2,0,0,0,90,Toni Kroos,toni-kroos,M,False,0,103,10,9,3,0,0,0,90,Gareth Bale,gareth-bale,F,False,0,32,3,3,1,0,0,0,87,Isco,isco,M,False,0,64,6,5,1,0,0,0,77,Marco Asensio,marco-asensio,F,False,0,53,4,3,0,0,0,0,90,Karim Benzema,karim-benzema,F,False,0,40,3,3,1,0,0,0,90,Raphaël Varane,raphael-varane,D,True,0,22,2,1,2,0,0,0,30,Luka Modrić,luka-modric,M,True,0.0,15.0,1.0,1.0,0.0,0.0,0.0,0.0,13.0,14,0.0,Lucas Vázquez,lucas-vazquez,D,True,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
7895288,Home,4-4-2,Marc-André ter Stegen,marc-andre-ter-stegen,G,False,0,22,5,4,0,0,0,0,90,Nélson Semedo,nelson-semedo,D,False,0,27,2,2,0,0,0,0,45,Gerard Piqué,gerard-pique,D,False,0,75,7,7,1,0,0,0,90,Samuel Umtiti,samuel-umtiti,D,False,0,63,1,1,0,0,0,0,90,Jordi Alba,jordi-alba,D,False,0,105,3,2,0,0,0,0,90,Sergi Roberto,sergi-roberto,D,False,0,76,3,1,0,0,0,0,90,Sergio Busquets,sergio-busquets,M,False,0,77,10,9,0,0,0,0,85,Ivan Rakitić,ivan-rakitic,M,False,0,127,20,20,0,0,0,0,90,Ousmane Dembélé,ousmane-dembele,F,False,0,47,2,2,0,0,0,0,77,Luis Suárez,luis-suarez,F,False,0,28,1,0,1,0,0,0,90,Lionel Messi,lionel-messi,F,False,0,73,9,7,0,0,0,0,90,Philippe Coutinho,philippe-coutinho,M,True,0,45,1,1,0,0,0,0,45,Arthur,arthur,M,True,0.0,16.0,1.0,1.0,0.0,0.0,0.0,0.0,13.0,14,0.0,Arturo Vidal,arturo-vidal,M,True,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
7895288,Away,4-5-1,Fernando Pacheco,fernando-pacheco,G,False,0,10,20,6,0,5,6,0,90,Martín Aguirregabiria,martin-aguirregabiria,D,False,0,8,7,1,7,0,0,0,90,Víctor Laguardia,victor-laguardia,D,False,0,6,5,0,7,0,0,0,90,Guillermo Maripán,guillermo-maripan,D,False,0,11,4,0,5,0,0,0,90,Rubén Duarte,ruben-duarte,D,False,0,14,4,0,7,0,0,0,90,Ibai Gómez,ibai-gomez,M,False,0,22,8,2,1,0,0,0,90,Mubarak Wakaso,mubarak-wakaso,M,False,0,15,3,1,1,0,0,0,90,Daniel Torres,daniel-torres,M,False,0,13,0,0,0,0,0,0,68,Manu García,manu-garcia,M,False,0,14,1,1,5,0,0,0,90,Jony,jony,M,False,0,6,0,0,0,0,0,0,68,Rubén Sobrino,ruben-sobrino,M,False,0,14,1,1,0,0,0,0,71,Adrián Marín,adrian-marin,D,True,0,4,1,1,1,0,0,0,22,Borja Bastón,borja-baston,F,True,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,22.0,14,0.0,Burgui,burgui,M,True,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
7895331,Home,4-3-1-2,Jordi Masip,jordi-masip,G,False,0,14,26,9,1,3,4,1,90,Javi Moyano,javi-moyano,D,False,0,16,1,1,4,0,0,0,90,Kiko Olivas,kiko-olivas,D,False,0,24,2,1,3,0,0,0,90,Fernando Calero,fernando-calero,D,False,0,31,11,6,6,0,0,0,90,Nacho Martínez,nacho-martinez,D,False,0,31,7,0,2,0,0,0,90,Anuar,anuar,M,False,0,22,0,0,0,0,0,0,90,Borja Fernández,borja-fernandez,M,False,0,13,4,3,2,0,0,0,64,Rubén Alcaraz,ruben-alcaraz,M,False,0,27,6,3,1,0,0,0,90,Toni Villa,toni-villa,M,False,0,19,2,0,0,0,0,0,87,Enes Ünal,enes-unal,F,False,0,13,4,0,0,0,0,0,70,Óscar Plano,oscar-plano,F,False,0,22,0,0,2,0,0,0,90,Keko,keko,F,True,0,4,1,0,0,0,0,0,26,Duje Čop,duje-cop,F,True,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,14,0.0,Daniele Verde,daniele-verde,F,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
