EventId,Team,Formation,Player1_Name,Player1_code,Player1_Position,Player1_substitute,Player1_Rating,Player1_accuratePass,Player1_totalLongBalls,Player1_accurateLongBalls,Player1_totalClearance,Player1_savedShotsFromInsideTheBox,Player1_saves,Player1_punches,Player1_minutesPlayed,Player2_Name,Player2_code,Player2_Position,Player2_substitute,Player2_Rating,Player2_accuratePass,Player2_totalLongBalls,Player2_accurateLongBalls,Player2_totalClearance,Player2_savedShotsFromInsideTheBox,Player2_saves,Player2_punches,Player2_minutesPlayed,Player3_Name,Player3_code,Player3_Position,Player3_substitute,Player3_Rating,Player3_accuratePass,Player3_totalLongBalls,Player3_accurateLongBalls,Player3_totalClearance,Player3_savedShotsFromInsideTheBox,Player3_saves,Player3_punches,Player3_minutesPlayed,Player4_Name,Player4_code,Player4_Position,Player4_substitute,Player4_Rating,Player4_accuratePass,Player4_totalLongBalls,Player4_accurateLongBalls,Player4_totalClearance,Player4_savedShotsFromInsideTheBox,Player4_saves,Player4_punches,Player4_minutesPlayed,Player5_Name,Player5_code,Player5_Position,Player5_substitute,Player5_Rating,Player5_accuratePass,Player5_totalLongBalls,Player5_accurateLongBalls,Player5_totalClearance,Player5_savedShotsFromInsideTheBox,Player5_saves,Player5_punches,Player5_minutesPlayed,Player6_Name,Player6_code,Player6_Position,Player6_substitute,Player6_Rating,Player6_accuratePass,Player6_totalLongBalls,Player6_accurateLongBalls,Player6_totalClearance,Player6_savedShotsFromInsideTheBox,Player6_saves,Player6_punches,Player6_minutesPlayed,Player7_Name,Player7_code,Player7_Position,Player7_substitute,Player7_Rating,Player7_accuratePass,Player7_totalLongBalls,Player7_accurateLongBalls,Player7_totalClearance,Player7_savedShotsFromInsideTheBox,Player7_saves,Player7_punches,Player7_minutesPlayed,Player8_Name,Player8_code,Player8_Position,Player8_substitute,Player8_Rating,Player8_accuratePass,Player8_totalLongBalls,Player8_accurateLongBalls,Player8_totalClearance,Player8_savedShotsFromInsideTheBox,Player8_saves,Player8_punches,Player8_minutesPlayed,Player9_Name,Player9_code,Player9_Position,Player9_substitute,Player9_Rating,Player9_accuratePass,Player9_totalLongBalls,Player9_accurateLongBalls,Player9_totalClearance,Player9_savedShotsFromInsideTheBox,Player9_saves,Player9_punches,Player9_minutesPlayed,Player10_Name,Player10_code,Player10_Position,Player10_substitute,Player10_Rating,Player10_accuratePass,Player10_totalLongBalls,Player10_accurateLongBalls,Player10_totalClearance,Player10_savedShotsFromInsideTheBox,Player10_saves,Player10_punches,Player10_minutesPlayed,Player11_Name,Player11_code,Player11_Position,Player11_substitute,Player11_Rating,Player11_accuratePass,Player11_totalLongBalls,Player11_accurateLongBalls,Player11_totalClearance,Player11_savedShotsFromInsideTheBox,Player11_saves,Player11_punches,Player11_minutesPlayed,Player12_Name,Player12_code,Player12_Position,Player12_substitute,Player12_Rating,Player12_accuratePass,Player12_totalLongBalls,Player12_accurateLongBalls,Player12_totalClearance,Player12_savedShotsFromInsideTheBox,Player12_saves,Player12_punches,Player12_minutesPlayed,Player13_Name,Player13_code,Player13_Position,Player13_substitute,Player13_Rating,Player13_accuratePass,Player13_totalLongBalls,Player13_accurateLongBalls,Player13_totalClearance,Player13_savedShotsFromInsideTheBox,Player13_saves,Player13_punches,Player13_minutesPlayed,Player14_Name,Player14_code,Player14_Position,Player14_substitute,Player14_Rating,Player14_accuratePass,Player14_totalLongBalls,Player14_accurateLongBalls,Player14_totalClearance,Player14_savedShotsFromInsideTheBox,Player14_saves,Player14_punches,Player14_minutesPlayed,PlayerCount,AverageTeamRating,Player16_Name,Player16_code,Player16_Position,Player16_substitute,Player16_Rating,Player16_accuratePass,Player16_totalLongBalls,Player16_accurateLongBalls,Player16_totalClearance,Player16_savedShotsFromInsideTheBox,Player16_saves,Player16_punches,Player16_minutesPlayed,Player20_Name,Player20_code,Player20_Position,Player20_substitute,Player20_Rating,Player20_accuratePass,Player20_totalLongBalls,Player20_accurateLongBalls,Player20_totalClearance,Player20_savedShotsFromInsideTheBox,Player20_saves,Player20_punches,Player20_minutesPlayed
7719195,Home,4-2-4,Cássio,cassio,G,False,0,15,14,7,1,1,2,1,90,Fagner,fagner,D,False,0,47,10,4,2,0,0,0,90,Fabián Balbuena,fabian-balbuena,D,False,0,48,3,3,7,0,0,0,90,Henrique,henrique,D,False,0,46,2,2,2,0,0,0,90,Sidcley,sidcley,D,False,0,51,3,2,3,0,0,0,90,Renê Júnior,rene-junior,M,False,0,46,4,2,0,0,0,0,71,Ralf,ralf,M,False,0,58,7,5,4,0,0,0,90,Ángel Romero,angel-romero,F,False,0,22,1,1,0,0,0,0,79,Rodriguinho,rodriguinho,M,False,0,29,2,1,0,0,0,0,90,Mateus Vital,mateus-vital,M,False,0,21,1,0,0,0,0,0,68,Clayson,clayson,F,False,0,27,1,0,1,0,0,0,90,Emerson Sheik,emerson-sheik,F,True,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,Maycon,maycon,M,True,0.0,11.0,2.0,1.0,0.0,0.0,0.0,0.0,19.0,Pedrinho,pedrinho,M,True,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7719195,Away,5-4-1,Júlio César,julio-cesar,G,False,0,16,18,8,5,0,0,2,90,Gilberto,gilberto,D,False,0,15,3,0,1,0,0,0,90,Renato Chaves,renato-chaves,D,False,0,17,5,1,2,0,0,0,88,Gum,gum,D,False,0,24,1,1,10,0,0,0,90,Roger Ibañez,roger-ibanez,D,False,0,11,1,0,3,0,0,0,24,Ayrton Lucas,ayrton-lucas,D,False,0,11,4,1,3,0,0,0,90,Pablo Dyego,pablo-dyego,M,False,0,14,1,0,0,0,0,0,90,Jádson,jadson,M,False,0,30,2,2,1,0,0,0,90,Richard Cândido,richard-candido,M,False,0,26,3,2,3,0,0,0,90,Junior Sornoza,junior-sornoza,F,False,0,25,4,2,0,0,0,0,90,Pedro,pedro,F,False,0,11,0,0,0,0,0,0,76,Frazan,frazan,D,True,0.0,13.0,1.0,0.0,1.0,0.0,0.0,0.0,66.0,João Carlos,joao-carlos,F,True,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,Marcos Júnior,marcos-junior,F,True,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7724299,Home,3-4-1-2,Júlio César,julio-cesar,G,False,0,11,30,8,3,4,5,1,90,Renato Chaves,renato-chaves,D,False,0,18,7,5,9,0,0,0,90,Gum,gum,D,False,0,13,2,1,15,0,0,0,90,Frazan,frazan,D,False,0,8,4,0,6,0,0,0,90,Gilberto,gilberto,D,False,0,7,1,1,0,0,0,0,15,Jádson,jadson,M,False,0,32,5,2,0,0,0,0,90,Richard Cândido,richard-candido,M,False,0,34,4,2,3,0,0,0,90,Ayrton Lucas,ayrton-lucas,D,False,0,13,4,2,2,0,0,0,90,Junior Sornoza,junior-sornoza,F,False,0,23,7,4,0,0,0,0,89,Pedro,pedro,F,False,0,13,2,2,1,0,0,0,77,Marcos Júnior,marcos-junior,F,False,0,13,0,0,1,0,0,0,61,Pablo Dyego,pablo-dyego,M,True,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,29.0,Douglas Augusto,douglas-augusto,M,True,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,13.0,Luan Peres,luan-peres,D,True,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7724299,Away,4-4-2,Fábio,fabio,G,False,0,2,2,0,1,0,0,1,90,Lucas Romero,lucas-romero,M,False,0,49,5,3,1,0,0,0,75,Dedé,dede,D,False,0,35,5,3,10,0,0,0,90,Léo,leo,D,False,0,45,5,5,4,0,0,0,90,Marcelo Hermes,marcelo-hermes,D,False,0,41,5,2,1,0,0,0,90,Robinho,robinho,M,False,0,86,10,6,0,0,0,0,90,Lucas Silva,lucas-silva,M,False,0,37,4,3,0,0,0,0,45,Henrique,henrique,M,False,0,62,3,3,3,0,0,0,90,Federico Mancuello,federico-mancuello,M,False,0,31,5,3,1,0,0,0,61,Thiago Neves,thiago-neves,M,False,0,48,1,1,0,0,0,0,90,Sassá,sassa,F,False,0,10,0,0,0,0,0,0,90,David,david,F,True,0.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,45.0,Giorgian De Arrascaeta,giorgian-de-arrascaeta,M,True,0.0,19.0,1.0,1.0,0.0,0.0,0.0,0.0,29.0,Rafinha,rafinha,M,True,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7724300,Home,4-2-3-1,Jandrei,jandrei,G,False,0,11,22,8,0,3,3,0,90,Apodi,apodi,F,False,0,17,3,2,1,0,0,0,90,Rafael Thyere,rafael-thyere,D,False,0,27,5,3,4,0,0,0,90,Douglas,douglas,D,False,0,27,6,3,3,0,0,0,90,Vinicius De Freitas,vinicius-de-freitas,D,False,0,20,5,1,1,0,0,0,90,Elicarlos,elicarlos,M,False,0,20,5,5,2,0,0,0,90,Amaral,amaral,M,False,0,27,4,1,1,0,0,0,90,Luiz Antônio,luiz-antonio,M,False,0,7,0,0,0,0,0,0,43,Héctor Canteros,hector-canteros,M,False,0,43,4,3,0,0,0,0,90,Arthur Caíke,arthur-caike,M,False,0,13,2,0,3,0,0,0,90,Wellington Paulista,wellington-paulista,F,False,0,11,1,1,0,0,0,0,73,Nadson,nadson,M,True,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,36.0,Vinícius,vinicius,M,True,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,Leandro Pereira,leandro-pereira,F,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7724300,Away,4-2-3-1,Martín Silva,martin-silva,G,False,0,14,12,5,0,1,1,0,90,Rafael Galhardo,rafael-galhardo,D,False,0,22,5,3,1,0,0,0,45,Paulão,paulao,D,False,0,56,10,7,4,0,0,0,90,Werley,werley,D,False,0,57,10,5,5,0,0,0,90,Henrique,henrique,D,False,0,45,2,0,2,0,0,0,90,Wellington,wellington,M,False,0,45,1,0,0,0,0,0,76,Leandro Desábato,leandro-desabato,M,False,0,61,1,1,1,0,0,0,90,Yago Pikachu,yago-pikachu,M,False,0,31,4,3,2,0,0,0,90,Wagner,wagner,M,False,0,46,10,7,0,0,0,0,90,Rildo,rildo,M,False,0,32,3,3,0,0,0,0,89,Andrés Rios,andres-rios,F,False,0,29,4,4,0,0,0,0,90,Thiago Galhardo,thiago-galhardo,F,True,0.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,45.0,Evander,evander,M,True,0.0,14.0,3.0,3.0,0.0,0.0,0.0,0.0,14.0,Duvier Riascos,duvier-riascos,F,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7719198,Home,4-2-3-1,Caíque,caique,G,False,0,7,8,2,1,1,3,1,90,Rodrigo Andrade,rodrigo-andrade,M,False,0,43,0,0,0,0,0,0,79,Kanu,kanu,D,False,0,41,5,3,6,0,0,0,90,Ramon,ramon,D,False,0,31,3,3,4,0,0,0,90,Pedro Botelho,pedro-botelho,D,False,0,43,8,2,2,0,0,0,67,Willian Farias,willian-farias,M,False,0,58,3,3,0,0,0,0,90,Uillian Correia,uillian-correia,M,False,0,64,13,9,1,0,0,0,90,Yago Felipe,yago-felipe,M,False,0,45,2,1,0,0,0,0,90,Alexander Baumjohann,alexander-baumjohann,M,False,0,13,0,0,0,0,0,0,45,Rhayner,rhayner,M,False,0,58,4,1,0,0,0,0,90,Deni Júnior,deni-junior,F,False,0,18,0,0,2,0,0,0,90,Juninho,juninho,D,True,0.0,41.0,1.0,1.0,0.0,0.0,0.0,0.0,45.0,Guilherme Costa,guilherme-costa,M,True,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,Jeferson,jeferson,M,True,0.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7719198,Away,4-1-4-1,Diego Alves,diego-alves,G,False,0,14,25,8,2,2,3,2,90,Rodinei,rodinei,D,False,0,14,1,0,0,0,0,0,90,Réver,rever,D,False,0,18,10,2,6,0,0,0,90,Juan,juan,D,False,0,13,10,3,8,0,0,0,90,Renê,rene,D,False,0,26,6,0,7,0,0,0,90,Gustavo Cuéllar,gustavo-cuellar,M,False,0,26,4,1,2,0,0,0,90,Lucas Paquetá,lucas-paqueta,M,False,0,12,1,0,1,0,0,0,56,Everton Ribeiro,everton-ribeiro,M,False,0,6,1,1,0,0,0,0,10,Diego,diego,M,False,0,26,3,0,2,0,0,0,90,Vinícius Júnior,vinicius-junior,F,False,0,12,1,0,0,0,0,0,85,Henrique Dourado,henrique-dourado,F,False,0,6,0,0,0,0,0,0,27,Willian Arão,willian-arao,M,True,0.0,21.0,2.0,0.0,1.0,0.0,0.0,0.0,63.0,Geuvânio,geuvanio,F,True,0.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,34.0,Pará,para,D,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7719200,Home,3-4-2-1,Santos,santos,G,False,0,24,8,2,8,0,0,1,90,Zé Ivaldo,ze-ivaldo,D,False,0,58,4,4,10,0,0,0,90,Esteban Pavez,esteban-pavez,M,False,0,69,9,7,3,0,0,0,90,Bruno Guimarães,bruno-guimaraes,M,False,0,87,11,9,5,0,0,0,90,Jonathan,jonathan,D,False,0,53,2,2,0,0,0,0,90,Guilherme Camacho,guilherme-camacho,M,False,0,61,7,7,1,0,0,0,86,Matheus Rossetto,matheus-rossetto,M,False,0,86,6,6,0,0,0,0,90,Thiago Carleto,thiago-carleto,D,False,0,50,1,0,3,0,0,0,90,Nikão,nikao,M,False,0,46,2,2,0,0,0,0,89,Pablo,pablo,F,False,0,41,1,1,0,0,0,0,90,Ribamar,ribamar,F,False,0,9,0,0,0,0,0,0,56,Éderson,ederson,F,True,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,34.0,Deivid,deivid,M,True,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,Raphael Veiga,raphael-veiga,M,True,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7719200,Away,5-4-1,Jandrei,jandrei,G,False,0,12,19,12,4,1,3,1,90,Apodi,apodi,F,False,0,10,1,0,0,0,0,0,83,Rafael Thyere,rafael-thyere,D,False,0,20,7,2,5,0,0,0,90,Amaral,amaral,M,False,0,19,3,1,1,0,0,0,90,Douglas,douglas,D,False,0,14,0,0,1,0,0,0,90,Bruno Pacheco,bruno-pacheco,D,False,0,18,1,0,1,0,0,0,90,Arthur Caíke,arthur-caike,M,False,0,17,1,0,0,0,0,0,90,Héctor Canteros,hector-canteros,M,False,0,34,7,4,0,0,0,0,90,Márcio Araújo,marcio-araujo,M,False,0,19,3,2,1,0,0,0,77,Vinícius,vinicius,M,False,0,14,0,0,0,0,0,0,68,Wellington Paulista,wellington-paulista,F,False,0,18,4,4,0,0,0,0,90,Nadson,nadson,M,True,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,Guilherme,guilherme,M,True,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,Eduardo,eduardo,D,True,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7724322,Home,3-4-3,Sidão,sidao,G,False,0,17,16,10,1,2,3,1,90,Bruno Alves,bruno-alves,D,False,0,8,0,0,1,0,0,0,45,Robert Arboleda,robert-arboleda,D,False,0,23,4,2,3,0,0,0,90,Anderson Martins,anderson-martins,D,False,0,24,5,2,9,0,0,0,90,Régis Souza,regis-souza,M,False,0,17,1,0,1,0,0,0,90,Hudson,hudson,M,False,0,26,0,0,1,0,0,0,78,Jucilei,jucilei,M,False,0,29,6,3,0,0,0,0,90,Reinaldo,reinaldo,D,False,0,17,2,0,2,0,0,0,90,Nenê,nene,M,False,0,17,5,3,0,0,0,0,56,Diego Souza,diego-souza,F,False,0,12,1,0,1,0,0,0,90,Éverton,everton,M,False,0,20,0,0,0,0,0,0,90,Marcos Guilherme,marcos-guilherme,F,True,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,Liziero,liziero,M,True,0.0,11.0,2.0,2.0,0.0,0.0,0.0,0.0,34.0,Christian Cueva,christian-cueva,M,True,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7724322,Away,4-2-3-1,Victor,victor,G,False,0,6,9,1,0,0,0,0,90,Patric,patric,D,False,0,48,7,3,3,0,0,0,90,Leonardo Silva,leonardo-silva,D,False,0,37,6,3,8,0,0,0,90,Gabriel França,gabriel-franca,D,False,0,33,7,5,10,0,0,0,90,Fábio Santos,fabio-santos,D,False,0,59,5,3,2,0,0,0,90,Adilson,adilson,M,False,0,82,7,4,1,0,0,0,90,Gustavo Blanco,gustavo-blanco,M,False,0,30,1,0,0,0,0,0,89,Rómulo Otero,romulo-otero,M,False,0,15,3,2,0,0,0,0,45,Luan,luan,M,False,0,54,6,3,0,0,0,0,57,Róger Guedes,roger-guedes,F,False,0,38,2,1,1,0,0,0,90,Ricardo Oliveira,ricardo-oliveira,F,False,0,15,2,1,0,0,0,0,90,Juan Cazares,juan-cazares,M,True,0.0,35.0,2.0,1.0,0.0,0.0,0.0,0.0,45.0,Elias,elias,M,True,0.0,16.0,2.0,1.0,0.0,0.0,0.0,0.0,33.0,Erik,erik,F,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7724304,Home,4-2-3-1,Douglas Friedrich,douglas-friedrich,G,False,0,13,10,8,2,1,2,1,90,Nino Paraíba,nino-paraiba,D,False,0,37,5,2,1,0,0,0,90,Thiago Pagnussat,thiago-pagnussat,D,False,0,25,2,1,6,0,0,0,90,Lucas Fonseca,lucas-fonseca,D,False,0,29,7,6,5,0,0,0,90,Léo,leo,D,False,0,37,2,1,0,0,0,0,90,Gregore,gregore,M,False,0,49,9,6,0,0,0,0,90,Elton,elton,M,False,0,44,3,3,2,0,0,0,90,Zé Rafael,ze-rafael,M,False,0,24,0,0,1,0,0,0,80,Vina,vina,M,False,0,28,4,4,1,0,0,0,69,Marco Antônio,marco-antonio,M,False,0,21,3,2,1,0,0,0,77,Edigar Junio,edigar-junio,F,False,0,15,1,1,0,0,0,0,90,Régis,regis,M,True,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,Júnior Brumado,junior-brumado,F,True,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,Agustin Allione,agustin-allione,M,True,0.0,6.0,3.0,3.0,0.0,0.0,0.0,0.0,10.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7724304,Away,4-2-3-1,Vanderlei,vanderlei,G,False,0,13,18,6,0,2,4,0,90,Daniel Guedes,daniel-guedes,D,False,0,38,3,2,5,0,0,0,90,Lucas Veríssimo,lucas-verissimo,D,False,0,33,2,0,6,0,0,0,90,David Braz,david-braz,D,False,0,30,4,1,3,0,0,0,90,Dodô,dodo,D,False,0,30,4,0,3,0,0,0,90,Alison,alison,M,False,0,27,3,1,1,0,0,0,90,Léo Cittadini,leo-cittadini,M,False,0,22,1,0,1,0,0,0,79,Eduardo Sasha,eduardo-sasha,F,False,0,19,2,1,0,0,0,0,85,Rodrygo,rodrygo,F,False,0,17,1,1,0,0,0,0,74,Jean Mota,jean-mota,M,False,0,27,6,4,0,0,0,0,90,Gabriel Barbosa,gabriel-barbosa,F,False,0,19,1,0,0,0,0,0,90,Bruno Henrique,bruno-henrique,M,True,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,Diego Pituca,diego-pituca,M,True,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,Arthur Gomes,arthur-gomes,M,True,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7724318,Home,4-2-3-1,Danilo Fernandes,danilo-fernandes,G,False,0,15,11,3,1,0,0,1,90,Fabiano,fabiano,D,False,0,33,5,3,0,0,0,0,90,Rodrigo Moledo,rodrigo-moledo,D,False,0,35,4,4,2,0,0,0,90,Víctor Cuesta,victor-cuesta,D,False,0,36,4,2,0,0,0,0,90,Iago,iago,D,False,0,34,5,2,1,0,0,0,90,Edenilson,edenilson,M,False,0,38,4,3,0,0,0,0,71,Rodrigo Dourado,rodrigo-dourado,M,False,0,42,1,0,0,0,0,0,89,William Pottker,william-pottker,F,False,0,26,1,1,1,0,0,0,90,Andrés D'Alessandro,andres-dalessandro,M,False,0,64,9,9,0,0,0,0,90,Patrick,patrick,M,False,0,30,2,2,0,0,0,0,90,Leandro Damião,leandro-damiao,F,False,0,11,0,0,0,0,0,0,65,Lucca,lucca,F,True,0.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,25.0,Nico López,nico-lopez,F,True,0.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,19.0,Wellington Silva,wellington-silva,M,True,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7724318,Away,4-4-2,Rafael,rafael,G,False,0,11,23,4,6,3,6,4,90,Ezequiel,ezequiel,D,False,0,27,7,4,2,0,0,0,90,Manoel,manoel,D,False,0,21,7,2,8,0,0,0,90,Murilo,murilo,D,False,0,16,3,1,8,0,0,0,90,Marcelo Hermes,marcelo-hermes,D,False,0,14,3,0,5,0,0,0,90,Robinho,robinho,M,False,0,37,4,1,0,0,0,0,90,Bruno Silva,bruno-silva,M,False,0,43,3,2,5,0,0,0,90,Lucas Romero,lucas-romero,M,False,0,52,6,5,2,0,0,0,90,Federico Mancuello,federico-mancuello,M,False,0,16,1,0,0,0,0,0,77,Rafael Sóbis,rafael-sobis,F,False,0,15,1,1,4,0,0,0,82,David,david,F,False,0,6,0,0,0,0,0,0,45,Raniel,raniel,F,True,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,45.0,Ariel Cabral,ariel-cabral,M,True,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,Rafael Marques,rafael-marques,F,True,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7724315,Home,4-2-3-1,Douglas Friedrich,douglas-friedrich,G,False,0,5,12,2,0,0,1,0,90,Nino Paraíba,nino-paraiba,D,False,0,13,3,1,4,0,0,0,90,Rodrigo Becão,rodrigo-becao,D,False,0,11,0,0,1,0,0,0,45,Lucas Fonseca,lucas-fonseca,D,False,0,25,6,4,4,0,0,0,90,Léo,leo,D,False,0,36,2,0,1,0,0,0,90,Gregore,gregore,M,False,0,55,3,2,1,0,0,0,90,Elton,elton,M,False,0,37,4,3,3,0,0,0,90,Élber,elber,M,False,0,18,0,0,1,0,0,0,90,Vina,vina,M,False,0,26,2,1,0,0,0,0,72,Zé Rafael,ze-rafael,M,False,0,25,0,0,1,0,0,0,90,Edigar Junio,edigar-junio,F,False,0,8,0,0,0,0,0,0,66,Everson,everson,D,True,0.0,7.0,3.0,2.0,2.0,0.0,0.0,0.0,45.0,Júnior Brumado,junior-brumado,F,True,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,Régis,regis,M,True,0.0,8.0,2.0,2.0,1.0,0.0,0.0,0.0,18.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7724315,Away,3-4-2-1,Santos,santos,G,False,0,36,11,6,0,6,7,0,90,Zé Ivaldo,ze-ivaldo,D,False,0,47,3,2,5,0,0,0,90,Paulo André,paulo-andre,D,False,0,53,6,3,8,0,0,0,90,Esteban Pavez,esteban-pavez,M,False,0,76,3,3,1,0,0,0,90,Matheus Rossetto,matheus-rossetto,M,False,0,71,1,1,1,0,0,0,90,Lucho González,lucho-gonzalez,M,False,0,41,2,2,1,0,0,0,70,Bruno Guimarães,bruno-guimaraes,M,False,0,74,3,2,0,0,0,0,90,Thiago Carleto,thiago-carleto,D,False,0,48,1,1,2,0,0,0,90,Nikão,nikao,M,False,0,53,1,1,1,0,0,0,90,Guilherme,guilherme,M,False,0,29,7,6,1,0,0,0,76,Pablo,pablo,F,False,0,9,0,0,0,0,0,0,86,Jonathan,jonathan,D,True,0.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,Raphael Veiga,raphael-veiga,M,True,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,Ribamar,ribamar,F,True,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7724314,Home,4-1-4-1,Victor,victor,G,False,0,8,6,4,1,0,1,0,90,Patric,patric,D,False,0,44,9,3,4,0,0,0,90,Bremer,bremer,D,False,0,49,4,2,2,0,0,0,85,Gabriel França,gabriel-franca,D,False,0,63,4,3,5,0,0,0,90,Fábio Santos,fabio-santos,D,False,0,60,4,2,2,0,0,0,90,Adilson,adilson,M,False,0,73,3,3,0,0,0,0,90,Rómulo Otero,romulo-otero,M,False,0,35,3,1,0,0,0,0,90,Gustavo Blanco,gustavo-blanco,M,False,0,45,1,1,0,0,0,0,85,Luan,luan,M,False,0,64,4,2,0,0,0,0,85,Róger Guedes,roger-guedes,F,False,0,31,5,2,1,0,0,0,90,Ricardo Oliveira,ricardo-oliveira,F,False,0,9,0,0,0,0,0,0,90,Matheus Galdezani,matheus-galdezani,M,True,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,Elias,elias,M,True,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,Alerrandro,alerrandro,F,True,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7724314,Away,4-2-4,Cássio,cassio,G,False,0,21,33,12,3,2,4,1,90,Fagner,fagner,D,False,0,3,2,0,0,0,0,0,9,Fabián Balbuena,fabian-balbuena,D,False,0,38,9,1,1,0,0,0,90,Henrique,henrique,D,False,0,36,1,0,4,0,0,0,90,Sidcley,sidcley,D,False,0,35,2,1,2,0,0,0,90,Gabriel,gabriel,M,False,0,49,1,1,2,0,0,0,90,Maycon,maycon,M,False,0,44,4,3,1,0,0,0,90,Ángel Romero,angel-romero,F,False,0,22,1,0,2,0,0,0,90,Rodriguinho,rodriguinho,M,False,0,9,1,1,1,0,0,0,83,Mateus Vital,mateus-vital,M,False,0,21,1,0,0,0,0,0,90,Clayson,clayson,F,False,0,13,1,1,0,0,0,0,45,Guilherme Mantuan,guilherme-mantuan,M,True,0.0,27.0,0.0,0.0,5.0,0.0,0.0,0.0,81.0,Emerson Sheik,emerson-sheik,F,True,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,45.0,Marquinhos Gabriel,marquinhos-gabriel,M,True,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
