EventId,Team,Formation,Player1_Name,Player1_code,Player1_Position,Player1_substitute,Player1_Rating,Player1_accuratePass,Player1_totalLongBalls,Player1_accurateLongBalls,Player1_totalClearance,Player1_savedShotsFromInsideTheBox,Player1_saves,Player1_punches,Player1_minutesPlayed,Player2_Name,Player2_code,Player2_Position,Player2_substitute,Player2_Rating,Player2_accuratePass,Player2_totalLongBalls,Player2_accurateLongBalls,Player2_totalClearance,Player2_savedShotsFromInsideTheBox,Player2_saves,Player2_punches,Player2_minutesPlayed,Player3_Name,Player3_code,Player3_Position,Player3_substitute,Player3_Rating,Player3_accuratePass,Player3_totalLongBalls,Player3_accurateLongBalls,Player3_totalClearance,Player3_savedShotsFromInsideTheBox,Player3_saves,Player3_punches,Player3_minutesPlayed,Player4_Name,Player4_code,Player4_Position,Player4_substitute,Player4_Rating,Player4_accuratePass,Player4_totalLongBalls,Player4_accurateLongBalls,Player4_totalClearance,Player4_savedShotsFromInsideTheBox,Player4_saves,Player4_punches,Player4_minutesPlayed,Player5_Name,Player5_code,Player5_Position,Player5_substitute,Player5_Rating,Player5_accuratePass,Player5_totalLongBalls,Player5_accurateLongBalls,Player5_totalClearance,Player5_savedShotsFromInsideTheBox,Player5_saves,Player5_punches,Player5_minutesPlayed,Player6_Name,Player6_code,Player6_Position,Player6_substitute,Player6_Rating,Player6_accuratePass,Player6_totalLongBalls,Player6_accurateLongBalls,Player6_totalClearance,Player6_savedShotsFromInsideTheBox,Player6_saves,Player6_punches,Player6_minutesPlayed,Player7_Name,Player7_code,Player7_Position,Player7_substitute,Player7_Rating,Player7_accuratePass,Player7_totalLongBalls,Player7_accurateLongBalls,Player7_totalClearance,Player7_savedShotsFromInsideTheBox,Player7_saves,Player7_punches,Player7_minutesPlayed,Player8_Name,Player8_code,Player8_Position,Player8_substitute,Player8_Rating,Player8_accuratePass,Player8_totalLongBalls,Player8_accurateLongBalls,Player8_totalClearance,Player8_savedShotsFromInsideTheBox,Player8_saves,Player8_punches,Player8_minutesPlayed,Player9_Name,Player9_code,Player9_Position,Player9_substitute,Player9_Rating,Player9_accuratePass,Player9_totalLongBalls,Player9_accurateLongBalls,Player9_totalClearance,Player9_savedShotsFromInsideTheBox,Player9_saves,Player9_punches,Player9_minutesPlayed,Player10_Name,Player10_code,Player10_Position,Player10_substitute,Player10_Rating,Player10_accuratePass,Player10_totalLongBalls,Player10_accurateLongBalls,Player10_totalClearance,Player10_savedShotsFromInsideTheBox,Player10_saves,Player10_punches,Player10_minutesPlayed,Player11_Name,Player11_code,Player11_Position,Player11_substitute,Player11_Rating,Player11_accuratePass,Player11_totalLongBalls,Player11_accurateLongBalls,Player11_totalClearance,Player11_savedShotsFromInsideTheBox,Player11_saves,Player11_punches,Player11_minutesPlayed,Player12_Name,Player12_code,Player12_Position,Player12_substitute,Player12_Rating,Player12_accuratePass,Player12_totalLongBalls,Player12_accurateLongBalls,Player12_totalClearance,Player12_savedShotsFromInsideTheBox,Player12_saves,Player12_punches,Player12_minutesPlayed,Player13_Name,Player13_code,Player13_Position,Player13_substitute,Player13_Rating,Player13_accuratePass,Player13_totalLongBalls,Player13_accurateLongBalls,Player13_totalClearance,Player13_savedShotsFromInsideTheBox,Player13_saves,Player13_punches,Player13_minutesPlayed,Player14_Name,Player14_code,Player14_Position,Player14_substitute,Player14_Rating,Player14_accuratePass,Player14_totalLongBalls,Player14_accurateLongBalls,Player14_totalClearance,Player14_savedShotsFromInsideTheBox,Player14_saves,Player14_punches,Player14_minutesPlayed,PlayerCount,AverageTeamRating,Player16_Name,Player16_code,Player16_Position,Player16_substitute,Player16_Rating,Player16_accuratePass,Player16_totalLongBalls,Player16_accurateLongBalls,Player16_totalClearance,Player16_savedShotsFromInsideTheBox,Player16_saves,Player16_punches,Player16_minutesPlayed,Player17_Name,Player17_code,Player17_Position,Player17_substitute,Player17_Rating,Player17_accuratePass,Player17_totalLongBalls,Player17_accurateLongBalls,Player17_totalClearance,Player17_savedShotsFromInsideTheBox,Player17_saves,Player17_punches,Player17_minutesPlayed,Player18_Name,Player18_code,Player18_Position,Player18_substitute,Player18_Rating,Player18_accuratePass,Player18_totalLongBalls,Player18_accurateLongBalls,Player18_totalClearance,Player18_savedShotsFromInsideTheBox,Player18_saves,Player18_punches,Player18_minutesPlayed,Player15_Name,Player15_code,Player15_Position,Player15_substitute,Player15_Rating,Player15_accuratePass,Player15_totalLongBalls,Player15_accurateLongBalls,Player15_totalClearance,Player15_savedShotsFromInsideTheBox,Player15_saves,Player15_punches,Player15_minutesPlayed
6783245,Home,4-2-3-1,Bernd Leno,bernd-leno,G,False,0,25,23,17,2,0,1,1,90,Roberto Hilbert,roberto-hilbert,D,False,0,31,14,8,8,0,0,0,90,Jonathan Tah,jonathan-tah,D,False,0,27,9,5,6,0,0,0,90,Kyriakos Papadopoulos,kyriakos-papadopoulos,D,False,0,8,5,1,7,0,0,0,90,Wendell,wendell,D,False,0,33,6,1,4,0,0,0,90,Lars Bender,lars-bender,D,False,0,23,3,1,1,0,0,0,60,Christoph Kramer,christoph-kramer,M,False,0,42,6,5,2,0,0,0,90,Karim Bellarabi,karim-bellarabi,M,False,0,12,0,0,1,0,0,0,89,Hakan Çalhanoğlu,hakan-calhanoglu,M,False,0,31,3,1,1,0,0,0,90,Heung-min Son,heung-min-son,F,False,0,13,1,1,0,0,0,0,64,Stefan Kießling,stefan-kiessling,F,False,0,26,1,0,0,0,0,0,90,Admir Mehmedi,admir-mehmedi,M,True,0.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0,30.0,Julian Brandt,julian-brandt,M,True,0.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,26.0,André Ramalho,andre-ramalho,D,True,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6783245,Away,4-3-1-2,Oliver Baumann,oliver-baumann,G,False,0,16,29,5,4,7,7,2,90,Pavel Kadeřábek,pavel-kaderabek,M,False,0,12,5,0,7,0,0,0,90,Fabian Schär,fabian-schar,D,False,0,14,11,5,6,0,0,0,90,Niklas Süle,niklas-sule,D,False,0,25,3,0,9,0,0,0,90,Jin-su Kim,jin-su-kim,D,False,0,13,6,0,5,0,0,0,90,Jonathan Schmid,jonathan-schmid,M,False,0,11,0,0,0,0,0,0,72,Pirmin Schwegler,pirmin-schwegler,M,False,0,24,2,1,4,0,0,0,90,Eugen Polański,eugen-polanski,M,False,0,16,1,1,1,0,0,0,82,Steven Zuber,steven-zuber,F,False,0,11,1,0,1,0,0,0,90,Kevin Volland,kevin-volland,F,False,0,12,1,0,0,0,0,0,90,Kevin Kurányi,kevin-kuranyi,F,False,0,6,0,0,2,0,0,0,58,Tobias Strobl,tobias-strobl,M,True,0.0,6.0,2.0,0.0,2.0,0.0,0.0,0.0,32.0,Mark Uth,mark-uth,M,True,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,18.0,Phillipp Ochs,phillipp-ochs,M,True,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6783239,Home,4-1-4-1,Manuel Neuer,manuel-neuer,G,False,0,27,5,4,0,1,1,0,90,Philipp Lahm,philipp-lahm,D,False,0,64,4,4,0,0,0,0,72,Jérôme Boateng,jerome-boateng,D,False,0,80,12,6,1,0,0,0,90,Medhi Benatia,medhi-benatia,D,False,0,74,3,1,6,0,0,0,90,David Alaba,david-alaba,D,False,0,65,4,3,0,0,0,0,90,Xabi Alonso,xabi-alonso,M,False,0,79,6,3,0,0,0,0,56,Arjen Robben,arjen-robben,M,False,0,30,1,1,0,0,0,0,65,Thomas Müller,thomas-muller,M,False,0,22,1,0,0,0,0,0,90,Arturo Vidal,arturo-vidal,M,False,0,120,16,14,0,0,0,0,90,Douglas Costa,douglas-costa,M,False,0,47,1,0,0,0,0,0,90,Robert Lewandowski,robert-lewandowski,F,False,0,14,1,0,0,0,0,0,90,Rafinha,rafinha,D,True,0.0,27.0,4.0,4.0,0.0,0.0,0.0,0.0,34.0,Mario Götze,mario-gotze,F,True,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,Thiago Alcântara,thiago-alcantara,M,True,0.0,26.0,2.0,2.0,0.0,0.0,0.0,0.0,18.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6783239,Away,4-3-3,René Adler,rene-adler,G,False,0,22,21,9,1,1,4,1,90,Dennis Diekmeier,dennis-diekmeier,D,False,0,8,2,0,3,0,0,0,90,Johan Djourou,johan-djourou,D,False,0,13,7,2,8,0,0,0,90,Emir Spahić,emir-spahic,D,False,0,14,6,1,9,0,0,0,90,Matthias Ostrzolek,matthias-ostrzolek,D,False,0,5,8,2,2,0,0,0,90,Albin Ekdal,albin-ekdal,M,False,0,9,0,0,1,0,0,0,61,Gideon Jung,gideon-jung,D,False,0,13,4,2,1,0,0,0,90,Lewis Holtby,lewis-holtby,M,False,0,18,8,2,0,0,0,0,90,Michael Gregoritsch,michael-gregoritsch,F,False,0,9,1,0,1,0,0,0,90,Sven Schipplock,sven-schipplock,F,False,0,15,0,0,1,0,0,0,69,Ivo Iličević,ivo-ilicevic,M,False,0,13,2,1,0,0,0,0,69,Ivica Olić,ivica-olic,F,True,0.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,29.0,Marcelo Díaz,marcelo-diaz,M,True,0.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,21.0,Pierre-Michel Lasogga,pierre-michel-lasogga,F,True,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6784267,Home,3-3-1-3,Manuel Neuer,manuel-neuer,G,False,0,26,9,5,0,2,3,0,90,Philipp Lahm,philipp-lahm,D,False,0,60,6,3,0,0,0,0,90,David Alaba,david-alaba,D,False,0,72,8,5,6,0,0,0,90,Juan Bernat,juan-bernat,D,False,0,37,0,0,2,0,0,0,73,Arturo Vidal,arturo-vidal,M,False,0,55,7,6,2,0,0,0,90,Xabi Alonso,xabi-alonso,M,False,0,79,8,5,3,0,0,0,90,Thiago Alcântara,thiago-alcantara,M,False,0,31,3,1,3,0,0,0,83,Thomas Müller,thomas-muller,M,False,0,24,4,2,0,0,0,0,90,Arjen Robben,arjen-robben,M,False,0,15,3,2,1,0,0,0,78,Robert Lewandowski,robert-lewandowski,F,False,0,17,0,0,1,0,0,0,90,Douglas Costa,douglas-costa,M,False,0,23,3,2,0,0,0,0,90,Dante,dante,D,True,0.0,18.0,2.0,2.0,1.0,0.0,0.0,0.0,17.0,Mario Götze,mario-gotze,F,True,0.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,Sebastian Rode,sebastian-rode,M,True,0.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6784267,Away,4-4-2,Bernd Leno,bernd-leno,G,False,0,14,28,14,1,3,3,0,90,Roberto Hilbert,roberto-hilbert,D,False,0,16,7,2,1,0,0,0,90,Jonathan Tah,jonathan-tah,D,False,0,14,4,1,1,0,0,0,90,Kyriakos Papadopoulos,kyriakos-papadopoulos,D,False,0,12,2,0,2,0,0,0,90,Wendell,wendell,D,False,0,13,4,1,1,0,0,0,78,Karim Bellarabi,karim-bellarabi,M,False,0,14,1,0,0,0,0,0,90,Lars Bender,lars-bender,D,False,0,35,1,1,3,0,0,0,90,Christoph Kramer,christoph-kramer,M,False,0,22,1,1,0,0,0,0,90,Hakan Çalhanoğlu,hakan-calhanoglu,M,False,0,19,1,0,0,0,0,0,61,Stefan Kießling,stefan-kiessling,F,False,0,20,2,0,1,0,0,0,90,Admir Mehmedi,admir-mehmedi,M,False,0,9,1,1,0,0,0,0,45,Julian Brandt,julian-brandt,M,True,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,45.0,Robbie Kruse,robbie-kruse,M,True,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,Sebastian Boenisch,sebastian-boenisch,D,True,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6784261,Home,4-4-2,Lukáš Hrádecký,lukas-hradecky,G,False,0,20,17,7,0,3,3,0,90,Makoto Hasebe,makoto-hasebe,D,False,0,27,5,3,0,0,0,0,68,Carlos Zambrano,carlos-zambrano,D,False,0,42,12,6,1,0,0,0,90,David Abraham,david-abraham,D,False,0,38,9,4,3,0,0,0,90,Bastian Oczipka,bastian-oczipka,D,False,0,24,5,1,0,0,0,0,90,Stefan Aigner,stefan-aigner,F,False,0,22,0,0,0,0,0,0,90,Marco Russ,marco-russ,D,False,0,19,1,0,0,0,0,0,90,Stefan Reinartz,stefan-reinartz,M,False,0,53,11,6,0,0,0,0,90,Joel Gerezgiher,joel-gerezgiher,M,False,0,12,3,2,0,0,0,0,45,Haris Seferović,haris-seferovic,F,False,0,15,1,0,3,0,0,0,90,Luc Castaignos,luc-castaignos,F,False,0,8,0,0,0,0,0,0,74,Timothy Chandler,timothy-chandler,M,True,0.0,12.0,3.0,1.0,0.0,0.0,0.0,0.0,45.0,Aleksandar Ignjovski,aleksandar-ignjovski,D,True,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,22.0,Luca Waldschmidt,luca-waldschmidt,F,True,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6784261,Away,4-2-3-1,Marwin Hitz,marwin-hitz,G,False,0,19,42,13,0,1,2,0,90,Paul Verhaegh,paul-verhaegh,D,False,0,29,5,3,0,0,0,0,90,Jeong-ho Hong,jeong-ho-hong,D,False,0,34,7,4,8,0,0,0,90,Ragnar Klavan,ragnar-klavan,D,False,0,28,9,5,4,0,0,0,90,Konstantinos Stafylidis,konstantinos-stafylidis,D,False,0,13,11,2,3,0,0,0,90,Dominik Kohr,dominik-kohr,M,False,0,34,4,2,2,0,0,0,90,Daniel Baier,daniel-baier,M,False,0,25,12,9,2,0,0,0,90,Alexander Esswein,alexander-esswein,F,False,0,15,2,0,0,0,0,0,76,Halil Altintop,halil-altintop,M,False,0,9,0,0,1,0,0,0,68,Tobias Werner,tobias-werner,M,False,0,8,2,2,1,0,0,0,89,Caiuby,caiuby,M,False,0,17,1,0,0,0,0,0,90,Dong-Won Ji,dong-won-ji,F,True,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,Markus Feulner,markus-feulner,M,True,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,Sascha Mölders,sascha-molders,F,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6784290,Home,4-3-3,Ramazan Özcan,ramazan-ozcan,G,False,0,16,27,9,0,0,3,0,90,Tobias Levels,tobias-levels,D,False,0,24,4,3,5,0,0,0,90,Marvin Matip,marvin-matip,D,False,0,18,4,2,7,0,0,0,90,Benjamin Hübner,benjamin-hubner,D,False,0,11,6,2,6,0,0,0,90,Markus Suttner,markus-suttner,D,False,0,15,10,1,6,0,0,0,90,Pascal Groß,pascal-gross,M,False,0,25,7,3,0,0,0,0,90,Roger Bernardo,roger-bernardo,D,False,0,14,4,3,2,0,0,0,90,Alfredo Morales,alfredo-morales,M,False,0,16,8,4,1,0,0,0,90,Moritz Hartmann,moritz-hartmann,F,False,0,13,1,0,0,0,0,0,63,Lukas Hinterseer,lukas-hinterseer,F,False,0,8,3,0,0,0,0,0,68,Mathew Leckie,mathew-leckie,M,False,0,17,1,1,1,0,0,0,85,Stefan Lex,stefan-lex,F,True,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,Almog Cohen,almog-cohen,M,True,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,Elias Kachunga,elias-kachunga,F,True,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6784290,Away,4-2-3-1,Diego Benaglio,diego-benaglio,G,False,0,22,23,10,0,0,1,0,90,Christian Träsch,christian-trasch,M,False,0,46,9,4,2,0,0,0,90,Naldo,naldo,D,False,0,50,10,7,5,0,0,0,90,Dante,dante,D,False,0,56,6,5,5,0,0,0,90,Ricardo Rodríguez,ricardo-rodriguez,D,False,0,47,10,3,3,0,0,0,90,Josuha Guilavogui,josuha-guilavogui,D,False,0,62,4,3,0,0,0,0,90,Luiz Gustavo,luiz-gustavo,M,False,0,37,7,5,1,0,0,0,82,Daniel Caligiuri,daniel-caligiuri,M,False,0,30,3,1,0,0,0,0,90,Julian Draxler,julian-draxler,M,False,0,32,5,3,0,0,0,0,90,Andre Schürrle,andre-schurrle,F,False,0,16,0,0,0,0,0,0,67,Bas Dost,bas-dost,F,False,0,14,3,1,2,0,0,0,71,Max Kruse,max-kruse,F,True,0.0,10.0,2.0,1.0,0.0,0.0,0.0,0.0,23.0,Nicklas Bendtner,nicklas-bendtner,F,True,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,Maximilian Arnold,maximilian-arnold,M,True,0.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,8.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6784275,Home,4-3-1-2,Felix Wiedwald,felix-wiedwald,G,False,0,16,14,9,1,2,4,0,90,Theodor Gebre Selassie,theodor-gebre-selassie,D,False,0,14,0,0,3,0,0,0,90,Assani Lukimya,assani-lukimya,D,False,0,29,12,2,2,0,0,0,90,Jannik Vestergaard,jannik-vestergaard,D,False,0,39,11,7,5,0,0,0,90,Santiago García,santiago-garcia,D,False,0,16,6,1,2,0,0,0,90,Clemens Fritz,clemens-fritz,M,False,0,9,3,0,3,0,0,0,90,Philipp Bargfrede,philipp-bargfrede,M,False,0,33,9,5,0,0,0,0,90,Ulisses Garcia,ulisses-garcia,D,False,0,13,1,0,1,0,0,0,77,Zlatko Junuzović,zlatko-junuzovic,M,False,0,19,6,0,0,0,0,0,86,Anthony Ujah,anthony-ujah,F,False,0,12,0,0,2,0,0,0,90,Aron Jóhansson,aron-johansson,M,False,0,12,0,0,0,0,0,0,70,Fin Bartels,fin-bartels,M,True,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,Felix Kroos,felix-kroos,M,True,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,Alejandro Gálvez,alejandro-galvez,D,True,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6784275,Away,4-4-2,Yann Sommer,yann-sommer,G,False,0,22,26,4,0,1,3,0,90,Tony Jantschke,tony-jantschke,D,False,0,39,9,7,1,0,0,0,90,Roel Brouwers,roel-brouwers,D,False,0,35,1,1,3,0,0,0,90,Marvin Schulz,marvin-schulz,M,False,0,34,3,2,4,0,0,0,90,Oscar Wendt,oscar-wendt,D,False,0,48,13,2,3,0,0,0,90,Patrick Herrmann,patrick-herrmann,F,False,0,11,1,0,1,0,0,0,72,Håvard Nordtveit,havard-nordtveit,D,False,0,33,4,3,0,0,0,0,68,Granit Xhaka,granit-xhaka,M,False,0,69,12,10,2,0,0,0,87,Thorgan Hazard,thorgan-hazard,F,False,0,30,3,0,2,0,0,0,90,Lars Stindl,lars-stindl,M,False,0,36,0,0,1,0,0,0,90,Raffael,raffael,F,False,0,21,2,1,0,0,0,0,81,Mahmoud Dahoud,mahmoud-dahoud,M,True,0.0,17.0,2.0,1.0,0.0,0.0,0.0,0.0,22.0,André Hahn,andre-hahn,M,True,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,Josip Drmić,josip-drmic,F,True,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6784276,Home,4-2-3-1,Koen Casteels,koen-casteels,G,False,0,15,22,6,1,1,1,1,90,Christian Träsch,christian-trasch,M,False,0,54,15,6,3,0,0,0,90,Naldo,naldo,D,False,0,70,18,15,4,0,0,0,90,Timm Klose,timm-klose,D,False,0,67,18,14,3,0,0,0,90,Ricardo Rodríguez,ricardo-rodriguez,D,False,0,53,10,5,3,0,0,0,90,Josuha Guilavogui,josuha-guilavogui,D,False,0,63,4,3,1,0,0,0,90,Luiz Gustavo,luiz-gustavo,M,False,0,41,3,3,0,0,0,0,90,Vieirinha,vieirinha,D,False,0,50,6,4,1,0,0,0,90,Max Kruse,max-kruse,F,False,0,25,2,2,0,0,0,0,87,Daniel Caligiuri,daniel-caligiuri,M,False,0,15,2,2,1,0,0,0,76,Bas Dost,bas-dost,F,False,0,21,2,2,2,0,0,0,79,Andre Schürrle,andre-schurrle,F,True,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,Nicklas Bendtner,nicklas-bendtner,F,True,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,Maximilian Arnold,maximilian-arnold,M,True,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6784276,Away,4-2-3-1,Ralf Fährmann,ralf-fahrmann,G,False,0,30,25,9,0,1,2,0,90,Sascha Riether,sascha-riether,D,False,0,25,5,2,2,0,0,0,90,Joël Matip,joel-matip,D,False,0,37,11,3,2,0,0,0,90,Roman Neustädter,roman-neustadter,D,False,0,77,6,4,4,0,0,0,90,Sead Kolašinac,sead-kolasinac,D,False,0,31,2,0,0,0,0,0,90,Johannes Geis,johannes-geis,M,False,0,31,9,3,0,0,0,0,90,Dennis Aogo,dennis-aogo,M,False,0,39,7,1,0,0,0,0,90,Eric Maxim Choupo-Moting,eric-maxim-choupo-moting,F,False,0,5,1,0,0,0,0,0,59,Julian Draxler,julian-draxler,M,False,0,20,7,6,0,0,0,0,73,Leroy Sané,leroy-sane,M,False,0,16,0,0,0,0,0,0,71,Klaas-Jan Huntelaar,klaas-jan-huntelaar,F,False,0,19,1,1,0,0,0,0,90,Franco Di Santo,franco-di-santo,F,True,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,Leon Goretzka,leon-goretzka,M,True,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,Max Meyer,max-meyer,M,True,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,17.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6784279,Home,3-3-1-3,Manuel Neuer,manuel-neuer,G,False,0,25,7,5,1,0,0,0,90,Rafinha,rafinha,D,False,0,113,8,6,1,0,0,0,90,Jérôme Boateng,jerome-boateng,D,False,0,91,12,9,2,0,0,0,90,David Alaba,david-alaba,D,False,0,84,3,2,0,0,0,0,90,Philipp Lahm,philipp-lahm,D,False,0,86,2,1,1,0,0,0,89,Xabi Alonso,xabi-alonso,M,False,0,113,6,4,1,0,0,0,90,Thiago Alcântara,thiago-alcantara,M,False,0,76,6,5,0,0,0,0,90,Arturo Vidal,arturo-vidal,M,False,0,54,4,2,0,0,0,0,56,Thomas Müller,thomas-muller,M,False,0,27,1,1,2,0,0,0,89,Robert Lewandowski,robert-lewandowski,F,False,0,20,0,0,0,0,0,0,90,Douglas Costa,douglas-costa,M,False,0,35,2,2,0,0,0,0,90,Kingsley Coman,kingsley-coman,M,True,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,Juan Bernat,juan-bernat,D,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Joshua Kimmich,joshua-kimmich,M,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6784279,Away,4-2-3-1,Marwin Hitz,marwin-hitz,G,False,0,19,26,8,2,6,8,1,90,Paul Verhaegh,paul-verhaegh,D,False,0,9,2,0,3,0,0,0,90,Jan-Ingwer Callsen-Bracker,jan-ingwer-callsen-bracker,D,False,0,11,3,0,11,0,0,0,90,Ragnar Klavan,ragnar-klavan,D,False,0,14,5,4,10,0,0,0,90,Markus Feulner,markus-feulner,M,False,0,8,5,2,2,0,0,0,90,Dominik Kohr,dominik-kohr,M,False,0,8,2,0,7,0,0,0,89,Daniel Baier,daniel-baier,M,False,0,16,12,5,3,0,0,0,90,Alexander Esswein,alexander-esswein,F,False,0,5,0,0,0,0,0,0,70,Koo Ja-Cheol,koo-ja-cheol,M,False,0,12,2,1,0,0,0,0,90,Tobias Werner,tobias-werner,M,False,0,8,5,3,2,0,0,0,90,Raúl Bobadilla,bobadilla-raul,F,False,0,8,1,0,0,0,0,0,76,Halil Altintop,halil-altintop,M,True,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,Dong-Won Ji,dong-won-ji,F,True,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,Tim Matavž,tim-matavz,F,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6783246,Home,4-2-3-1,Marwin Hitz,marwin-hitz,G,False,0,19,10,5,0,1,2,0,90,Paul Verhaegh,paul-verhaegh,D,False,0,38,6,1,2,0,0,0,90,Jeong-ho Hong,jeong-ho-hong,D,False,0,44,4,2,8,0,0,0,90,Ragnar Klavan,ragnar-klavan,D,False,0,41,5,2,1,0,0,0,90,Markus Feulner,markus-feulner,M,False,0,11,4,1,1,0,0,0,71,Dominik Kohr,dominik-kohr,M,False,0,25,3,2,2,0,0,0,82,Daniel Baier,daniel-baier,M,False,0,66,12,7,0,0,0,0,90,Alexander Esswein,alexander-esswein,F,False,0,20,3,2,0,0,0,0,90,Halil Altintop,halil-altintop,M,False,0,13,2,1,0,0,0,0,57,Tobias Werner,tobias-werner,M,False,0,15,1,1,0,0,0,0,90,Raúl Bobadilla,bobadilla-raul,F,False,0,6,0,0,0,0,0,0,45,Caiuby,caiuby,M,True,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,Philipp Max,philipp-max,M,True,0.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,19.0,Sascha Mölders,sascha-molders,F,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
