EventId,Team,Formation,PlayerCount,AverageTeamRating,Player1_Name,Player1_code,Player1_Position,Player1_substitute,Player1_Rating,Player1_accuratePass,Player1_totalLongBalls,Player1_accurateLongBalls,Player1_totalClearance,Player1_savedShotsFromInsideTheBox,Player1_saves,Player1_punches,Player1_minutesPlayed,Player2_Name,Player2_code,Player2_Position,Player2_substitute,Player2_Rating,Player2_accuratePass,Player2_totalLongBalls,Player2_accurateLongBalls,Player2_totalClearance,Player2_savedShotsFromInsideTheBox,Player2_saves,Player2_punches,Player2_minutesPlayed,Player3_Name,Player3_code,Player3_Position,Player3_substitute,Player3_Rating,Player3_accuratePass,Player3_totalLongBalls,Player3_accurateLongBalls,Player3_totalClearance,Player3_savedShotsFromInsideTheBox,Player3_saves,Player3_punches,Player3_minutesPlayed,Player4_Name,Player4_code,Player4_Position,Player4_substitute,Player4_Rating,Player4_accuratePass,Player4_totalLongBalls,Player4_accurateLongBalls,Player4_totalClearance,Player4_savedShotsFromInsideTheBox,Player4_saves,Player4_punches,Player4_minutesPlayed,Player5_Name,Player5_code,Player5_Position,Player5_substitute,Player5_Rating,Player5_accuratePass,Player5_totalLongBalls,Player5_accurateLongBalls,Player5_totalClearance,Player5_savedShotsFromInsideTheBox,Player5_saves,Player5_punches,Player5_minutesPlayed,Player6_Name,Player6_code,Player6_Position,Player6_substitute,Player6_Rating,Player6_accuratePass,Player6_totalLongBalls,Player6_accurateLongBalls,Player6_totalClearance,Player6_savedShotsFromInsideTheBox,Player6_saves,Player6_punches,Player6_minutesPlayed,Player7_Name,Player7_code,Player7_Position,Player7_substitute,Player7_Rating,Player7_accuratePass,Player7_totalLongBalls,Player7_accurateLongBalls,Player7_totalClearance,Player7_savedShotsFromInsideTheBox,Player7_saves,Player7_punches,Player7_minutesPlayed,Player8_Name,Player8_code,Player8_Position,Player8_substitute,Player8_Rating,Player8_accuratePass,Player8_totalLongBalls,Player8_accurateLongBalls,Player8_totalClearance,Player8_savedShotsFromInsideTheBox,Player8_saves,Player8_punches,Player8_minutesPlayed,Player9_Name,Player9_code,Player9_Position,Player9_substitute,Player9_Rating,Player9_accuratePass,Player9_totalLongBalls,Player9_accurateLongBalls,Player9_totalClearance,Player9_savedShotsFromInsideTheBox,Player9_saves,Player9_punches,Player9_minutesPlayed,Player10_Name,Player10_code,Player10_Position,Player10_substitute,Player10_Rating,Player10_accuratePass,Player10_totalLongBalls,Player10_accurateLongBalls,Player10_totalClearance,Player10_savedShotsFromInsideTheBox,Player10_saves,Player10_punches,Player10_minutesPlayed,Player11_Name,Player11_code,Player11_Position,Player11_substitute,Player11_Rating,Player11_accuratePass,Player11_totalLongBalls,Player11_accurateLongBalls,Player11_totalClearance,Player11_savedShotsFromInsideTheBox,Player11_saves,Player11_punches,Player11_minutesPlayed,Player12_Name,Player12_code,Player12_Position,Player12_substitute,Player12_Rating,Player12_accuratePass,Player12_totalLongBalls,Player12_accurateLongBalls,Player12_totalClearance,Player12_savedShotsFromInsideTheBox,Player12_saves,Player12_punches,Player12_minutesPlayed,Player13_Name,Player13_code,Player13_Position,Player13_substitute,Player13_Rating,Player13_accuratePass,Player13_totalLongBalls,Player13_accurateLongBalls,Player13_totalClearance,Player13_savedShotsFromInsideTheBox,Player13_saves,Player13_punches,Player13_minutesPlayed,Player14_Name,Player14_code,Player14_Position,Player14_substitute,Player14_Rating,Player14_accuratePass,Player14_totalLongBalls,Player14_accurateLongBalls,Player14_totalClearance,Player14_savedShotsFromInsideTheBox,Player14_saves,Player14_punches,Player14_minutesPlayed,Player15_Name,Player15_code,Player15_Position,Player15_substitute,Player15_Rating,Player15_accuratePass,Player15_totalLongBalls,Player15_accurateLongBalls,Player15_totalClearance,Player15_savedShotsFromInsideTheBox,Player15_saves,Player15_punches,Player15_minutesPlayed,Player16_Name,Player16_code,Player16_Position,Player16_substitute,Player16_Rating,Player16_accuratePass,Player16_totalLongBalls,Player16_accurateLongBalls,Player16_totalClearance,Player16_savedShotsFromInsideTheBox,Player16_saves,Player16_punches,Player16_minutesPlayed,Player20_Name,Player20_code,Player20_Position,Player20_substitute,Player20_Rating,Player20_accuratePass,Player20_totalLongBalls,Player20_accurateLongBalls,Player20_totalClearance,Player20_savedShotsFromInsideTheBox,Player20_saves,Player20_punches,Player20_minutesPlayed
8970702,Home,N/A,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8970702,Away,N/A,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8970339,Home,3-4-1-2,16,0.0,Marco Sportiello,marco-sportiello,G,False,0.0,24.0,4.0,2.0,1.0,1.0,1.0,0.0,90.0,Berat Djimsiti,berat-djimsiti,D,False,0.0,61.0,3.0,1.0,4.0,0.0,0.0,0.0,90.0,Cristian Romero,cristian-romero,D,False,0.0,47.0,2.0,0.0,2.0,0.0,0.0,0.0,90.0,José Luis Palomino,jose-luis-palomino,D,False,0.0,49.0,14.0,9.0,3.0,0.0,0.0,0.0,85.0,Hans Hateboer,hans-hateboer,M,False,0.0,50.0,1.0,1.0,1.0,0.0,0.0,0.0,90.0,Marten de Roon,marten-de-roon,M,False,0.0,53.0,6.0,4.0,2.0,0.0,0.0,0.0,90.0,Mario Pašalić,mario-pasalic,M,False,0.0,65.0,3.0,3.0,2.0,0.0,0.0,0.0,90.0,Robin Gosens,robin-gosens,M,False,0.0,37.0,2.0,1.0,1.0,0.0,0.0,0.0,74.0,Papu Gómez,papu-gomez,M,False,0.0,37.0,5.0,3.0,0.0,0.0,0.0,0.0,65.0,Duván Zapata,duvan-zapata,F,False,0.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,65.0,Luis Muriel,luis-muriel,F,False,0.0,22.0,1.0,1.0,1.0,0.0,0.0,0.0,74.0,Ruslan Malinovskyi,ruslan-malinovskyi,M,True,0.0,22.0,3.0,3.0,0.0,0.0,0.0,0.0,25.0,Sam Lammers,sam-lammers,F,True,0.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,Johan Mojica,johan-mojica,D,True,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,Remo Freuler,remo-freuler,M,True,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,Boško Šutalo,bosko-sutalo,D,True,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,,,,,,,,,,,,,
8970339,Away,4-4-2,16,0.0,Alessio Cragno,alessio-cragno,G,False,0.0,22.0,20.0,6.0,0.0,4.0,7.0,0.0,90.0,Gabriele Zappa,gabriele-zappa,D,False,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,Sebastian Walukiewicz,sebastian-walukiewicz,D,False,0.0,20.0,5.0,2.0,3.0,0.0,0.0,0.0,90.0,Diego Godín,diego-godin,D,False,0.0,44.0,5.0,1.0,1.0,0.0,0.0,0.0,85.0,Charalampos Lykogiannīs,charalampos-lykogiannis,D,False,0.0,31.0,7.0,3.0,5.0,0.0,0.0,0.0,90.0,Riccardo Sottil,riccardo-sottil,F,False,0.0,24.0,0.0,0.0,1.0,0.0,0.0,0.0,78.0,Răzvan Marin,razvan-marin,M,False,0.0,27.0,3.0,1.0,0.0,0.0,0.0,0.0,65.0,Marko Rog,marko-rog,M,False,0.0,56.0,2.0,1.0,0.0,0.0,0.0,0.0,90.0,Nahitan Nández,nahitan-nandez,M,False,0.0,22.0,3.0,1.0,1.0,0.0,0.0,0.0,90.0,Giovanni Simeone,giovanni-simeone,F,False,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,João Pedro Galvão,joao-pedro-galvao,F,False,0.0,25.0,5.0,4.0,0.0,0.0,0.0,0.0,86.0,Matteo Tramoni,matteo-tramoni,M,True,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,25.0,Fabrizio Caligara,fabrizio-caligara,M,True,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,Ragnar Klavan,ragnar-klavan,D,True,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,Paolo Faragò,paolo-farago,M,True,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,Leonardo Pavoletti,leonardo-pavoletti,F,True,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,,,,,,,,,,,,
8970312,Home,3-4-1-2,15,0.0,Wojciech Szczęsny,wojciech-szczesny,G,False,0.0,39.0,12.0,8.0,0.0,1.0,2.0,0.0,90.0,Danilo,danilo,D,False,0.0,96.0,6.0,4.0,3.0,0.0,0.0,0.0,90.0,Leonardo Bonucci,leonardo-bonucci,D,False,0.0,66.0,12.0,8.0,5.0,0.0,0.0,0.0,90.0,Giorgio Chiellini,giorgio-chiellini,D,False,0.0,69.0,4.0,4.0,5.0,0.0,0.0,0.0,82.0,Juan Cuadrado,juan-cuadrado,M,False,0.0,55.0,3.0,3.0,0.0,0.0,0.0,0.0,78.0,Adrien Rabiot,adrien-rabiot,M,False,0.0,84.0,5.0,4.0,2.0,0.0,0.0,0.0,90.0,Weston McKennie,weston-mckennie,M,False,0.0,61.0,5.0,4.0,2.0,0.0,0.0,0.0,90.0,Gianluca Frabotta,gianluca-frabotta,D,False,0.0,41.0,2.0,0.0,1.0,0.0,0.0,0.0,67.0,Aaron Ramsey,aaron-ramsey,M,False,0.0,58.0,2.0,1.0,1.0,0.0,0.0,0.0,90.0,Dejan Kulusevski,dejan-kulusevski,M,False,0.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,82.0,Cristiano Ronaldo,cristiano-ronaldo,F,False,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,Mattia De Sciglio,mattia-de-sciglio,M,True,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,Rodrigo Bentancur,bentancur-rodrigo,M,True,0.0,16.0,2.0,2.0,0.0,0.0,0.0,0.0,12.0,Merih Demiral,merih-demiral,D,True,0.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,Douglas Costa,douglas-costa,M,True,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8970312,Away,4-1-4-1,16,0.0,Emil Audero,emil-audero,G,False,0.0,19.0,12.0,5.0,2.0,4.0,5.0,1.0,90.0,Bartosz Bereszyński,bartosz-bereszynski,D,False,0.0,28.0,2.0,1.0,2.0,0.0,0.0,0.0,90.0,Lorenzo Tonelli,lorenzo-tonelli,D,False,0.0,14.0,4.0,2.0,2.0,0.0,0.0,0.0,45.0,Omar Colley,omar-colley,D,False,0.0,44.0,14.0,6.0,2.0,0.0,0.0,0.0,90.0,Tommaso Augello,tommaso-augello,D,False,0.0,34.0,4.0,2.0,0.0,0.0,0.0,0.0,90.0,Albin Ekdal,albin-ekdal,M,False,0.0,32.0,2.0,1.0,0.0,0.0,0.0,0.0,90.0,Fabio Depaoli,fabio-depaoli,M,False,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,45.0,Morten Thorsby,morten-thorsby,M,False,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,Jakub Jankto,jakub-jankto,M,False,0.0,18.0,2.0,1.0,1.0,0.0,0.0,0.0,90.0,Mehdi Léris,mehdi-leris,M,False,0.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,45.0,Federico Bonazzoli,federico-bonazzoli,F,False,0.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,70.0,Maya Yoshida,maya-yoshida,D,True,0.0,14.0,1.0,0.0,3.0,0.0,0.0,0.0,45.0,Gastón Ramírez,gaston-ramirez,M,True,0.0,8.0,1.0,1.0,2.0,0.0,0.0,0.0,45.0,Fabio Quagliarella,fabio-quagliarella,F,True,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,45.0,Mikkel Damsgaard,damsgaard-mikkel,M,True,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,Valerio Verre,valerio-verre,M,True,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,,,,,,,,,,,,,
8970350,Home,4-2-3-1,16,0.0,Andrea Consigli,andrea-consigli,G,False,0.0,17.0,29.0,7.0,0.0,3.0,5.0,0.0,90.0,Mert Müldür,mert-muldur,D,False,0.0,20.0,1.0,1.0,2.0,0.0,0.0,0.0,53.0,Vlad Chiricheş,vlad-chiriches,D,False,0.0,34.0,1.0,0.0,0.0,0.0,0.0,0.0,34.0,Gian Marco Ferrari,gian-marco-ferrari,D,False,0.0,61.0,6.0,2.0,4.0,0.0,0.0,0.0,90.0,Jeremy Toljan,jeremy-toljan,D,False,0.0,34.0,4.0,3.0,0.0,0.0,0.0,0.0,90.0,Manuel Locatelli,manuel-locatelli,M,False,0.0,65.0,12.0,8.0,1.0,0.0,0.0,0.0,90.0,Mehdi Bourabia,mehdi-bourabia,M,False,0.0,38.0,3.0,1.0,3.0,0.0,0.0,0.0,53.0,Domenico Berardi,domenico-berardi,F,False,0.0,22.0,2.0,2.0,1.0,0.0,0.0,0.0,90.0,Grégoire Defrel,gregoire-defrel,F,False,0.0,18.0,1.0,1.0,1.0,0.0,0.0,0.0,89.0,Filip Đuričić,filip-duricic,M,False,0.0,22.0,1.0,1.0,0.0,0.0,0.0,0.0,89.0,Francesco Caputo,francesco-caputo,F,False,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,Kaan Ayhan,kaan-ayhan,D,True,0.0,16.0,2.0,1.0,5.0,0.0,0.0,0.0,56.0,Pedro Obiang,pedro-obiang,M,True,0.0,14.0,0.0,0.0,2.0,0.0,0.0,0.0,37.0,Georgios Kyriakopoulos,georgios-kyriakopoulos,M,True,0.0,19.0,2.0,2.0,0.0,0.0,0.0,0.0,37.0,Federico Peluso,federico-peluso,D,True,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Hamed Junior Traorè,hamed-junior-traore,M,True,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,
8970350,Away,5-3-2,14,0.0,Alex Cordaz,alex-cordaz,G,False,0.0,15.0,9.0,4.0,0.0,0.0,0.0,0.0,90.0,Pedro Pereira,pedro-pereira,D,False,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,Lisandro Magallán,lisandro-magallan,D,False,0.0,35.0,6.0,4.0,0.0,0.0,0.0,0.0,90.0,Luca Marrone,luca-marrone,D,False,0.0,24.0,6.0,2.0,0.0,0.0,0.0,0.0,90.0,Vladimir Golemić,vladimir-golemic,D,False,0.0,44.0,7.0,4.0,0.0,0.0,0.0,0.0,90.0,Arkadiusz Reca,arkadiusz-reca,M,False,0.0,18.0,0.0,0.0,2.0,0.0,0.0,0.0,90.0,Salvatore Molina,salvatore-molina,M,False,0.0,39.0,2.0,2.0,0.0,0.0,0.0,0.0,90.0,Luca Cigarini,luca-cigarini,M,False,0.0,40.0,3.0,1.0,1.0,0.0,0.0,0.0,77.0,Miloš Vulić,milos-vulic,M,False,0.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,77.0,Simy,simy,F,False,0.0,19.0,0.0,0.0,1.0,0.0,0.0,0.0,90.0,Junior Messias,junior-messias,M,False,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,Tomislav Gomelt,tomislav-gomelt,M,True,0.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,13.0,Denis Drăguş,denis-dragus,F,True,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,Andrea Rispoli,andrea-rispoli,D,True,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8970316,Home,3-4-2-1,16,0.0,Marco Silvestri,marco-silvestri,G,False,0.0,13.0,33.0,12.0,1.0,2.0,4.0,0.0,90.0,Mert Çetin,mert-cetin,D,False,0.0,25.0,7.0,4.0,2.0,0.0,0.0,0.0,90.0,Koray Günter,koray-gunter,D,False,0.0,32.0,2.0,1.0,1.0,0.0,0.0,0.0,67.0,Alan Empereur,alan-empereur,D,False,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,Davide Faraoni,davide-faraoni,M,False,0.0,23.0,6.0,2.0,5.0,0.0,0.0,0.0,90.0,Miguel Veloso,miguel-veloso,M,False,0.0,40.0,4.0,1.0,1.0,0.0,0.0,0.0,90.0,Andrea Danzi,andrea-danzi,M,False,0.0,18.0,3.0,2.0,0.0,0.0,0.0,0.0,90.0,Federico Dimarco,federico-dimarco,M,False,0.0,22.0,5.0,1.0,2.0,0.0,0.0,0.0,90.0,Adrien Tameze,adrien-tameze,M,False,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,Ľubomír Tupta,ubomir-tupta,F,False,0.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,45.0,Samuel Di Carmine,samuel-di-carmine,F,False,0.0,11.0,1.0,0.0,2.0,0.0,0.0,0.0,78.0,Matteo Lovato,lovato-matteo,D,True,0.0,20.0,5.0,1.0,2.0,0.0,0.0,0.0,71.0,Mattia Zaccagni,mattia-zaccagni,F,True,0.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,45.0,Antonín Barák,antonin-barak,M,True,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,24.0,Kevin Rüegg,kevin-ruegg,D,True,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,23.0,Ivan Ilić,ivan-ilic,M,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,,,,,,,,,,,,,
8970316,Away,3-4-2-1,14,0.0,Antonio Mirante,antonio-mirante,G,False,0.0,19.0,12.0,2.0,1.0,3.0,3.0,1.0,90.0,Gianluca Mancini,gianluca-mancini,D,False,0.0,29.0,3.0,0.0,2.0,0.0,0.0,0.0,90.0,Bryan Cristante,bryan-cristante,M,False,0.0,38.0,13.0,5.0,2.0,0.0,0.0,0.0,90.0,Roger Ibañez,roger-ibanez,D,False,0.0,48.0,9.0,2.0,4.0,0.0,0.0,0.0,90.0,Rick Karsdorp,rick-karsdorp,M,False,0.0,27.0,3.0,2.0,1.0,0.0,0.0,0.0,73.0,Amadou Diawara,amadou-diawara,M,False,0.0,58.0,7.0,5.0,1.0,0.0,0.0,0.0,89.0,Jordan Veretout,jordan-veretout,M,False,0.0,43.0,5.0,3.0,0.0,0.0,0.0,0.0,90.0,Leonardo Spinazzola,leonardo-spinazzola,M,False,0.0,29.0,3.0,2.0,0.0,0.0,0.0,0.0,90.0,Pedro,pedro,F,False,0.0,29.0,2.0,1.0,0.0,0.0,0.0,0.0,90.0,Lorenzo Pellegrini,lorenzo-pellegrini,M,False,0.0,38.0,6.0,4.0,0.0,0.0,0.0,0.0,79.0,Henrikh Mkhitaryan,henrikh-mkhitaryan,M,False,0.0,34.0,1.0,1.0,0.0,0.0,0.0,0.0,90.0,Davide Santon,davide-santon,D,True,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,Justin Kluivert,justin-kluivert,M,True,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,Gonzalo Villar,gonzalo-villar,M,True,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8970340,Home,4-3-1-2,15,0.0,Salvatore Sirigu,salvatore-sirigu,G,False,0.0,27.0,20.0,5.0,1.0,2.0,3.0,0.0,90.0,Mërgim Vojvoda,mergim-vojvoda,M,False,0.0,40.0,4.0,4.0,3.0,0.0,0.0,0.0,90.0,Bremer,bremer,D,False,0.0,41.0,8.0,2.0,6.0,0.0,0.0,0.0,90.0,Nicolas N'Koulou,nicolas-nkoulou,D,False,0.0,45.0,3.0,0.0,7.0,0.0,0.0,0.0,90.0,Nicola Murru,nicola-murru,D,False,0.0,29.0,10.0,4.0,4.0,0.0,0.0,0.0,90.0,Soualiho Meïté,soualiho-meite,M,False,0.0,41.0,4.0,2.0,1.0,0.0,0.0,0.0,90.0,Tomás Rincón,tomas-rincon,M,False,0.0,42.0,4.0,3.0,1.0,0.0,0.0,0.0,80.0,Karol Linetty,karol-linetty,M,False,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,Álex Berenguer,alex-berenguer,M,False,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,64.0,Simone Zaza,simone-zaza,F,False,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,Andrea Belotti,andrea-belotti,F,False,0.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,90.0,Saša Lukić,sasa-lukic,M,True,0.0,12.0,2.0,1.0,0.0,0.0,0.0,0.0,26.0,Simone Verdi,simone-verdi,F,True,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,Vincenzo Millico,vincenzo-millico,M,True,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,Jacopo Segre,jacopo-segre,M,True,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8970340,Away,3-4-1-2,16,0.0,Marco Sportiello,marco-sportiello,G,False,0.0,15.0,9.0,5.0,0.0,1.0,2.0,0.0,90.0,Rafael Tolói,rafael-toloi,D,False,0.0,43.0,11.0,8.0,1.0,0.0,0.0,0.0,90.0,Mattia Caldara,mattia-caldara,D,False,0.0,22.0,7.0,5.0,0.0,0.0,0.0,0.0,45.0,Boško Šutalo,bosko-sutalo,D,False,0.0,47.0,1.0,1.0,2.0,0.0,0.0,0.0,90.0,Hans Hateboer,hans-hateboer,M,False,0.0,49.0,3.0,1.0,2.0,0.0,0.0,0.0,90.0,Marten de Roon,marten-de-roon,M,False,0.0,52.0,14.0,8.0,0.0,0.0,0.0,0.0,90.0,Remo Freuler,remo-freuler,M,False,0.0,56.0,6.0,5.0,1.0,0.0,0.0,0.0,90.0,Robin Gosens,robin-gosens,M,False,0.0,37.0,6.0,1.0,1.0,0.0,0.0,0.0,84.0,Papu Gómez,papu-gomez,M,False,0.0,39.0,7.0,6.0,0.0,0.0,0.0,0.0,84.0,Luis Muriel,luis-muriel,F,False,0.0,20.0,1.0,1.0,0.0,0.0,0.0,0.0,64.0,Duván Zapata,duvan-zapata,F,False,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,José Luis Palomino,jose-luis-palomino,D,True,0.0,24.0,4.0,3.0,2.0,0.0,0.0,0.0,45.0,Ruslan Malinovskyi,ruslan-malinovskyi,M,True,0.0,10.0,2.0,1.0,0.0,0.0,0.0,0.0,26.0,Johan Mojica,johan-mojica,D,True,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,Mario Pašalić,mario-pasalic,M,True,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,Sam Lammers,sam-lammers,F,True,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,,,,,,,,,,,,,
8970318,Home,4-3-3,16,0.0,Lorenzo Montipò,lorenzo-montipo,G,False,0.0,17.0,27.0,11.0,1.0,2.0,3.0,0.0,90.0,Christian Maggio,christian-maggio,D,False,0.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,45.0,Kamil Glik,kamil-glik,D,False,0.0,18.0,2.0,2.0,1.0,0.0,0.0,0.0,90.0,Luca Caldirola,luca-caldirola,D,False,0.0,25.0,3.0,2.0,2.0,0.0,0.0,0.0,90.0,Federico Barba,federico-barba,D,False,0.0,13.0,1.0,0.0,3.0,0.0,0.0,0.0,37.0,Artur Ioniță,artur-ionita,M,False,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,Pasquale Schiattarella,pasquale-schiattarella,M,False,0.0,38.0,5.0,2.0,1.0,0.0,0.0,0.0,90.0,Bryan Dabo,bryan-dabo,M,False,0.0,26.0,3.0,2.0,0.0,0.0,0.0,0.0,70.0,Roberto Insigne,roberto-insigne,F,False,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,Gabriele Moncini,gabriele-moncini,F,False,0.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,63.0,Gianluca Caprari,gianluca-caprari,F,False,0.0,23.0,1.0,1.0,0.0,0.0,0.0,0.0,90.0,Gaetano Letizia,gaetano-letizia,D,True,0.0,13.0,2.0,1.0,0.0,0.0,0.0,0.0,53.0,Alessandro Tuia,alessandro-tuia,D,True,0.0,16.0,2.0,0.0,3.0,0.0,0.0,0.0,45.0,Daam Foulon,daam-foulon,D,True,0.0,14.0,0.0,0.0,3.0,0.0,0.0,0.0,45.0,Gianluca Lapadula,gianluca-lapadula,F,True,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,Përparim Hetemaj,perparim-hetemaj,M,True,0.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,20.0,,,,,,,,,,,,,
8970318,Away,3-4-1-2,16,0.0,Samir Handanović,samir-handanovic,G,False,0.0,26.0,6.0,4.0,2.0,3.0,3.0,1.0,90.0,Milan Škriniar,milan-skriniar,D,False,0.0,86.0,4.0,2.0,2.0,0.0,0.0,0.0,90.0,Stefan de Vrij,stefan-de-vrij,D,False,0.0,68.0,4.0,2.0,2.0,0.0,0.0,0.0,90.0,Aleksandar Kolarov,aleksandar-kolarov,D,False,0.0,71.0,7.0,6.0,4.0,0.0,0.0,0.0,90.0,Achraf Hakimi,hakimi-achraf,D,False,0.0,41.0,1.0,1.0,1.0,0.0,0.0,0.0,90.0,Roberto Gagliardini,roberto-gagliardini,M,False,0.0,66.0,4.0,4.0,2.0,0.0,0.0,0.0,81.0,Stefano Sensi,stefano-sensi,M,False,0.0,45.0,2.0,1.0,0.0,0.0,0.0,0.0,65.0,Ashley Young,ashley-young,D,False,0.0,23.0,2.0,2.0,3.0,0.0,0.0,0.0,65.0,Arturo Vidal,arturo-vidal,M,False,0.0,36.0,7.0,6.0,1.0,0.0,0.0,0.0,52.0,Romelu Lukaku,romelu-lukaku,F,False,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,Alexis Sánchez,alexis-sanchez,F,False,0.0,44.0,2.0,1.0,1.0,0.0,0.0,0.0,90.0,Nicolò Barella,nicolo-barella,M,True,0.0,33.0,3.0,1.0,0.0,0.0,0.0,0.0,38.0,Ivan Perišić,ivan-perisic,M,True,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,Marcelo Brozović,marcelo-brozovic,M,True,0.0,35.0,1.0,1.0,0.0,0.0,0.0,0.0,25.0,Lautaro Martínez,lautaro-martinez,F,True,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,25.0,Christian Eriksen,christian-eriksen,M,True,0.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,,,,,,,,,,,,,
