EventId,Team,Formation,Player1_Name,Player1_code,Player1_Position,Player1_substitute,Player1_Rating,Player1_accuratePass,Player1_totalLongBalls,Player1_accurateLongBalls,Player1_totalClearance,Player1_savedShotsFromInsideTheBox,Player1_saves,Player1_punches,Player1_minutesPlayed,Player2_Name,Player2_code,Player2_Position,Player2_substitute,Player2_Rating,Player2_accuratePass,Player2_totalLongBalls,Player2_accurateLongBalls,Player2_totalClearance,Player2_savedShotsFromInsideTheBox,Player2_saves,Player2_punches,Player2_minutesPlayed,Player3_Name,Player3_code,Player3_Position,Player3_substitute,Player3_Rating,Player3_accuratePass,Player3_totalLongBalls,Player3_accurateLongBalls,Player3_totalClearance,Player3_savedShotsFromInsideTheBox,Player3_saves,Player3_punches,Player3_minutesPlayed,Player4_Name,Player4_code,Player4_Position,Player4_substitute,Player4_Rating,Player4_accuratePass,Player4_totalLongBalls,Player4_accurateLongBalls,Player4_totalClearance,Player4_savedShotsFromInsideTheBox,Player4_saves,Player4_punches,Player4_minutesPlayed,Player5_Name,Player5_code,Player5_Position,Player5_substitute,Player5_Rating,Player5_accuratePass,Player5_totalLongBalls,Player5_accurateLongBalls,Player5_totalClearance,Player5_savedShotsFromInsideTheBox,Player5_saves,Player5_punches,Player5_minutesPlayed,Player6_Name,Player6_code,Player6_Position,Player6_substitute,Player6_Rating,Player6_accuratePass,Player6_totalLongBalls,Player6_accurateLongBalls,Player6_totalClearance,Player6_savedShotsFromInsideTheBox,Player6_saves,Player6_punches,Player6_minutesPlayed,Player7_Name,Player7_code,Player7_Position,Player7_substitute,Player7_Rating,Player7_accuratePass,Player7_totalLongBalls,Player7_accurateLongBalls,Player7_totalClearance,Player7_savedShotsFromInsideTheBox,Player7_saves,Player7_punches,Player7_minutesPlayed,Player8_Name,Player8_code,Player8_Position,Player8_substitute,Player8_Rating,Player8_accuratePass,Player8_totalLongBalls,Player8_accurateLongBalls,Player8_totalClearance,Player8_savedShotsFromInsideTheBox,Player8_saves,Player8_punches,Player8_minutesPlayed,Player9_Name,Player9_code,Player9_Position,Player9_substitute,Player9_Rating,Player9_accuratePass,Player9_totalLongBalls,Player9_accurateLongBalls,Player9_totalClearance,Player9_savedShotsFromInsideTheBox,Player9_saves,Player9_punches,Player9_minutesPlayed,Player10_Name,Player10_code,Player10_Position,Player10_substitute,Player10_Rating,Player10_accuratePass,Player10_totalLongBalls,Player10_accurateLongBalls,Player10_totalClearance,Player10_savedShotsFromInsideTheBox,Player10_saves,Player10_punches,Player10_minutesPlayed,Player11_Name,Player11_code,Player11_Position,Player11_substitute,Player11_Rating,Player11_accuratePass,Player11_totalLongBalls,Player11_accurateLongBalls,Player11_totalClearance,Player11_savedShotsFromInsideTheBox,Player11_saves,Player11_punches,Player11_minutesPlayed,Player12_Name,Player12_code,Player12_Position,Player12_substitute,Player12_Rating,Player12_accuratePass,Player12_totalLongBalls,Player12_accurateLongBalls,Player12_totalClearance,Player12_savedShotsFromInsideTheBox,Player12_saves,Player12_punches,Player12_minutesPlayed,Player13_Name,Player13_code,Player13_Position,Player13_substitute,Player13_Rating,Player13_accuratePass,Player13_totalLongBalls,Player13_accurateLongBalls,Player13_totalClearance,Player13_savedShotsFromInsideTheBox,Player13_saves,Player13_punches,Player13_minutesPlayed,Player14_Name,Player14_code,Player14_Position,Player14_substitute,Player14_Rating,Player14_accuratePass,Player14_totalLongBalls,Player14_accurateLongBalls,Player14_totalClearance,Player14_savedShotsFromInsideTheBox,Player14_saves,Player14_punches,Player14_minutesPlayed,PlayerCount,AverageTeamRating,Player15_Name,Player15_code,Player15_Position,Player15_substitute,Player15_Rating,Player15_accuratePass,Player15_totalLongBalls,Player15_accurateLongBalls,Player15_totalClearance,Player15_savedShotsFromInsideTheBox,Player15_saves,Player15_punches,Player15_minutesPlayed,Player16_Name,Player16_code,Player16_Position,Player16_substitute,Player16_Rating,Player16_accuratePass,Player16_totalLongBalls,Player16_accurateLongBalls,Player16_totalClearance,Player16_savedShotsFromInsideTheBox,Player16_saves,Player16_punches,Player16_minutesPlayed
8337618,Home,4-3-3,Luigi Sepe,luigi-sepe,G,False,0,20,13,5,2,1,3,1,90,Vincent Laurini,vincent-laurini,D,False,0,29,5,3,2,0,0,0,90,Simone Iacoponi,simone-iacoponi,D,False,0,23,11,5,4,0,0,0,90,Bruno Alves,bruno-alves,D,False,0,31,10,6,4,0,0,0,90,Riccardo Gagliolo,riccardo-gagliolo,D,False,0,34,5,1,3,0,0,0,90,Hernani,hernani,M,False,0,32,8,5,2,0,0,0,90,Gastón Brugman,gaston-brugman,M,False,0,24,6,5,0,0,0,0,77,Antonino Barillà,antonino-barilla,M,False,0,16,1,1,2,0,0,0,85,Dejan Kulusevski,dejan-kulusevski,M,False,0,13,0,0,1,0,0,0,57,Roberto Inglese,roberto-inglese,F,False,0,11,0,0,0,0,0,0,90,Gervinho,gervinho,F,False,0,9,0,0,0,0,0,0,90,Luca Siligardi,luca-siligardi,M,True,0,8,2,1,0,0,0,0,33,Alberto Grassi,alberto-grassi,M,True,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,Yann Karamoh,yann-karamoh,F,True,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8337618,Away,4-3-3,Wojciech Szczęsny,wojciech-szczesny,G,False,0,14,10,5,1,1,2,1,90,Mattia De Sciglio,mattia-de-sciglio,M,False,0,45,5,5,2,0,0,0,90,Leonardo Bonucci,leonardo-bonucci,D,False,0,46,8,2,3,0,0,0,90,Giorgio Chiellini,giorgio-chiellini,D,False,0,46,2,1,3,0,0,0,90,Alex Sandro,alex-sandro,D,False,0,45,6,5,1,0,0,0,90,Sami Khedira,sami-khedira,M,False,0,28,2,1,1,0,0,0,63,Miralem Pjanić,miralem-pjanic,M,False,0,85,7,4,1,0,0,0,90,Blaise Matuidi,blaise-matuidi,M,False,0,20,1,0,1,0,0,0,90,Douglas Costa,douglas-costa,M,False,0,42,0,0,0,0,0,0,71,Gonzalo Higuaín,gonzalo-higuain,F,False,0,24,1,1,1,0,0,0,83,Cristiano Ronaldo,cristiano-ronaldo,F,False,0,38,0,0,1,0,0,0,90,Adrien Rabiot,adrien-rabiot,M,True,0,9,0,0,0,0,0,0,27,Juan Cuadrado,juan-cuadrado,M,True,0.0,9.0,2.0,2.0,0.0,0.0,0.0,0.0,19.0,Federico Bernardeschi,federico-bernardeschi,F,True,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8337673,Home,4-3-1-2,Andrea Consigli,andrea-consigli,G,False,0,26,7,2,1,1,3,0,90,Mert Müldür,mert-muldur,D,False,0,43,2,1,2,0,0,0,90,Marlon,marlon,D,False,0,122,2,2,1,0,0,0,90,Gian Marco Ferrari,gian-marco-ferrari,D,False,0,78,2,1,1,0,0,0,90,Federico Peluso,federico-peluso,D,False,0,32,1,0,1,0,0,0,90,Alfred Duncan,alfred-duncan,M,False,0,51,4,1,0,0,0,0,79,Pedro Obiang,pedro-obiang,M,False,0,90,1,0,1,0,0,0,90,Manuel Locatelli,manuel-locatelli,M,False,0,57,3,3,0,0,0,0,84,Hamed Junior Traorè,hamed-junior-traore,M,False,0,35,2,1,0,0,0,0,90,Domenico Berardi,domenico-berardi,F,False,0,17,0,0,1,0,0,0,75,Francesco Caputo,francesco-caputo,F,False,0,15,0,0,0,0,0,0,90,Jérémie Boga,jeremie-boga,F,True,0,9,0,0,0,0,0,0,15,Luca Mazzitelli,luca-mazzitelli,M,True,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,Filip Đuričić,filip-duricic,M,True,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8337673,Away,4-3-3,Emil Audero,emil-audero,G,False,0,15,14,3,0,4,4,0,90,Bartosz Bereszyński,bartosz-bereszynski,D,False,0,28,3,1,1,0,0,0,90,Jeison Murillo,jeison-murillo,D,False,0,33,12,8,7,0,0,0,90,Omar Colley,omar-colley,D,False,0,29,4,4,2,0,0,0,90,Nicola Murru,nicola-murru,D,False,0,22,4,1,1,0,0,0,90,Ronaldo Vieira,ronaldo-vieira,M,False,0,15,2,1,0,0,0,0,45,Albin Ekdal,albin-ekdal,M,False,0,15,0,0,0,0,0,0,90,Jakub Jankto,jakub-jankto,M,False,0,11,0,0,0,0,0,0,54,Gastón Ramírez,gaston-ramirez,M,False,0,16,1,1,0,0,0,0,61,Fabio Quagliarella,fabio-quagliarella,F,False,0,13,0,0,0,0,0,0,90,Mehdi Léris,mehdi-leris,M,False,0,11,2,2,0,0,0,0,45,Édgar Barreto,edgar-barreto,M,True,0,8,1,0,0,0,0,0,45,Alex Ferrari,alex-ferrari,D,True,0.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,36.0,Gianluca Caprari,gianluca-caprari,F,True,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8337617,Home,4-3-3,Bartłomiej Drągowski,bartlomiej-dragowski,G,False,0,14,11,7,0,0,3,0,90,Pol Lirola,pol-lirola,D,False,0,37,7,3,1,0,0,0,90,Nikola Milenković,nikola-milenkovic,D,False,0,38,1,0,4,0,0,0,90,Germán Pezzella,german-pezzella,D,False,0,38,2,1,7,0,0,0,90,Lorenzo Venuti,lorenzo-venuti,D,False,0,29,0,0,1,0,0,0,90,Erick Pulgar,erick-pulgar,M,False,0,47,3,2,1,0,0,0,90,Milan Badelj,milan-badelj,M,False,0,40,3,2,0,0,0,0,73,Gaetano Castrovilli,gaetano-castrovilli,M,False,0,29,2,0,1,0,0,0,90,Riccardo Sottil,riccardo-sottil,F,False,0,17,0,0,0,0,0,0,78,Dušan Vlahović,dusan-vlahovic,F,False,0,14,0,0,0,0,0,0,61,Federico Chiesa,federico-chiesa,F,False,0,9,0,0,0,0,0,0,90,Kevin-Prince Boateng,kevin-prince-boateng,M,True,0,3,0,0,0,0,0,0,29,Marco Benassi,marco-benassi,M,True,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,Franck Ribéry,franck-ribery,M,True,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8337617,Away,4-4-1-1,Alex Meret,alex-meret,G,False,0,18,9,3,1,1,3,0,90,Giovanni Di Lorenzo,giovanni-di-lorenzo,D,False,0,44,3,3,1,0,0,0,90,Konstantinos Manolas,konstantinos-manolas,D,False,0,44,6,2,2,0,0,0,90,Kalidou Koulibaly,kalidou-koulibaly,D,False,0,47,7,3,5,0,0,0,90,Mário Rui,mario-rui,D,False,0,26,3,1,0,0,0,0,71,José Callejón,jose-callejon,F,False,0,35,0,0,1,0,0,0,90,Piotr Zieliński,piotr-zielinski,M,False,0,62,4,3,0,0,0,0,90,Allan,allan,M,False,0,31,0,0,0,0,0,0,72,Lorenzo Insigne,lorenzo-insigne,F,False,0,41,6,5,0,0,0,0,90,Fabián Ruiz,fabian-ruiz,M,False,0,46,5,4,1,0,0,0,90,Dries Mertens,dries-mertens,M,False,0,15,0,0,0,0,0,0,84,Faouzi Ghoulam,faouzi-ghoulam,D,True,0,14,1,1,0,0,0,0,19,Eljif Elmas,eljif-elmas,M,True,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,Elseid Hysaj,elseid-hysaj,D,True,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,12.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8337668,Home,3-5-2,Thomas Strakosha,thomas-strakosha,G,False,0,12,5,3,1,0,1,1,90,Luiz Felipe,luiz-felipe,D,False,0,16,3,2,0,0,0,0,40,Francesco Acerbi,francesco-acerbi,D,False,0,48,6,4,2,0,0,0,90,Ştefan Radu,stefan-radu,D,False,0,27,6,4,4,0,0,0,90,Manuel Lazzari,manuel-lazzari,D,False,0,14,2,0,0,0,0,0,90,Sergej Milinković-Savić,sergej-milinkovic-savic,M,False,0,26,2,2,0,0,0,0,71,Lucas Leiva,lucas-leiva,M,False,0,39,5,4,0,0,0,0,90,Luis Alberto,luis-alberto,M,False,0,41,2,2,0,0,0,0,90,Senad Lulić,senad-lulic,M,False,0,32,3,1,1,0,0,0,78,Ciro Immobile,ciro-immobile,F,False,0,12,1,0,0,0,0,0,90,Joaquín Correa,joaquin-correa,F,False,0,16,0,0,0,0,0,0,90,Bastos,bastos,D,True,0,27,3,2,2,0,0,0,50,Marco Parolo,marco-parolo,M,True,0.0,5.0,2.0,1.0,3.0,0.0,0.0,0.0,19.0,Jony,jony,M,True,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8337668,Away,4-2-3-1,Pau López,pau-lopez,G,False,0,24,10,6,1,3,6,1,90,Alessandro Florenzi,alessandro-florenzi,D,False,0,21,11,5,4,0,0,0,89,Gianluca Mancini,gianluca-mancini,D,False,0,30,3,0,7,0,0,0,90,Federico Fazio,federico-fazio,D,False,0,35,7,3,8,0,0,0,90,Aleksandar Kolarov,aleksandar-kolarov,D,False,0,40,4,1,4,0,0,0,90,Bryan Cristante,bryan-cristante,M,False,0,44,4,3,1,0,0,0,90,Lorenzo Pellegrini,lorenzo-pellegrini,M,False,0,35,5,2,0,0,0,0,90,Cengiz Ünder,cengiz-under,F,False,0,12,3,2,0,0,0,0,67,Nicolò Zaniolo,nicolo-zaniolo,M,False,0,18,0,0,0,0,0,0,79,Justin Kluivert,justin-kluivert,M,False,0,21,1,1,0,0,0,0,90,Edin Džeko,edin-dzeko,F,False,0,12,1,1,1,0,0,0,90,Javier Pastore,javier-pastore,M,True,0,11,2,2,0,0,0,0,23,Davide Santon,davide-santon,D,True,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,11.0,Amadou Diawara,amadou-diawara,M,True,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8337624,Home,3-5-2,Salvatore Sirigu,salvatore-sirigu,G,False,0,14,17,10,1,4,9,0,90,Armando Izzo,armando-izzo,D,False,0,11,5,2,4,0,0,0,90,Bremer,bremer,D,False,0,19,5,1,0,0,0,0,90,Kevin Bonifazi,kevin-bonifazi,D,False,0,20,4,3,4,0,0,0,68,Lorenzo De Silvestri,lorenzo-de-silvestri,D,False,0,8,5,2,2,0,0,0,90,Daniele Baselli,daniele-baselli,M,False,0,17,8,4,0,0,0,0,80,Tomás Rincón,tomas-rincon,M,False,0,19,2,1,3,0,0,0,90,Saša Lukić,sasa-lukic,M,False,0,17,0,0,0,0,0,0,90,Cristian Ansaldi,cristian-ansaldi,D,False,0,13,5,3,0,0,0,0,45,Simone Zaza,simone-zaza,F,False,0,9,3,2,0,0,0,0,90,Andrea Belotti,andrea-belotti,F,False,0,10,1,1,0,0,0,0,90,Ola Aina,ola-aina,D,True,0,8,2,2,1,0,0,0,45,Koffi Djidji,koffi-djidji,D,True,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,Soualiho Meïté,soualiho-meite,M,True,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8337624,Away,4-3-1-2,Andrea Consigli,andrea-consigli,G,False,0,12,9,3,0,2,2,0,90,Jeremy Toljan,jeremy-toljan,D,False,0,37,2,2,2,0,0,0,68,Marlon,marlon,D,False,0,59,4,4,4,0,0,0,90,Gian Marco Ferrari,gian-marco-ferrari,D,False,0,41,4,2,4,0,0,0,90,Rogério,rogerio,D,False,0,13,0,0,3,0,0,0,45,Mehdi Bourabia,mehdi-bourabia,M,False,0,46,6,3,1,0,0,0,90,Pedro Obiang,pedro-obiang,M,False,0,58,3,2,2,0,0,0,90,Manuel Locatelli,manuel-locatelli,M,False,0,35,2,1,1,0,0,0,81,Hamed Junior Traorè,hamed-junior-traore,M,False,0,40,0,0,0,0,0,0,90,Jérémie Boga,jeremie-boga,F,False,0,24,0,0,0,0,0,0,90,Francesco Caputo,francesco-caputo,F,False,0,16,0,0,0,0,0,0,90,Federico Peluso,federico-peluso,D,True,0,19,2,0,2,0,0,0,45,Mert Müldür,mert-muldur,D,True,0.0,12.0,1.0,1.0,1.0,0.0,0.0,0.0,22.0,Giacomo Raspadori,giacomo-raspadori,F,True,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8337652,Home,4-3-1-2,Jesse Joronen,jesse-joronen,G,False,0,8,19,5,2,1,4,0,90,Stefano Sabelli,stefano-sabelli,M,False,0,14,13,3,2,0,0,0,90,Andrea Cistana,andrea-cistana,D,False,0,21,8,1,4,0,0,0,90,Jhon Chancellor,jhon-chancellor,D,False,0,13,3,2,3,0,0,0,90,Aleš Matějů,ales-mateju,D,False,0,21,2,0,0,0,0,0,90,Dimitri Bisoli,dimitri-bisoli,M,False,0,21,0,0,3,0,0,0,90,Sandro Tonali,sandro-tonali,M,False,0,15,6,2,0,0,0,0,79,Daniele Dessena,daniele-dessena,M,False,0,16,3,1,1,0,0,0,48,Rômulo,romulo,D,False,0,14,0,0,0,0,0,0,84,Alfredo Donnarumma,alfredo-donnarumma,F,False,0,10,1,0,0,0,0,0,63,Florian Ayé,florian-aye,F,False,0,8,1,0,4,0,0,0,90,Jaromír Zmrhal,jaromir-zmrhal,M,True,0,5,1,1,0,0,0,0,27,Nikolas Špalek,nikolas-spalek,M,True,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,Alessandro Matri,alessandro-matri,F,True,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8337652,Away,4-2-3-1,Łukasz Skorupski,lukasz-skorupski,G,False,0,19,8,4,0,1,3,0,90,Takehiro Tomiyasu,tomiyasu-takehiro,D,False,0,56,16,13,2,0,0,0,90,Mattia Bani,mattia-bani,D,False,0,31,6,2,1,0,0,0,53,Stefano Denswil,stefano-denswil,D,False,0,52,6,4,6,0,0,0,90,Mitchell Dijks,mitchell-dijks,D,False,0,39,3,2,2,0,0,0,90,Gary Medel,gary-medel,D,False,0,62,5,3,2,0,0,0,90,Blerim Džemaili,blerim-dzemaili,M,False,0,18,4,2,1,0,0,0,45,Riccardo Orsolini,riccardo-orsolini,M,False,0,27,5,2,0,0,0,0,90,Roberto Soriano,roberto-soriano,M,False,0,44,4,3,1,0,0,0,90,Nicola Sansone,nicola-sansone,F,False,0,26,0,0,0,0,0,0,90,Rodrigo Palacio,rodrigo-palacio,F,False,0,32,1,1,2,0,0,0,89,Federico Santander,federico-santander,F,True,0,10,0,0,0,0,0,0,45,Andrea Poli,andrea-poli,M,True,0.0,28.0,1.0,0.0,1.0,0.0,0.0,0.0,37.0,Andreas Skov Olsen,andreas-skov-olsen,M,True,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8337670,Home,3-5-2,Etrit Berisha,etrit-berisha,G,False,0,20,10,5,0,2,4,0,90,Thiago Cionek,thiago-cionek,D,False,0,38,8,4,6,0,0,0,90,Francesco Vicari,francesco-vicari,D,False,0,45,5,4,5,0,0,0,90,Nenad Tomović,nenad-tomovic,D,False,0,43,3,2,5,0,0,0,80,Marco D'Alessandro,marco-dalessandro,M,False,0,23,3,2,0,0,0,0,73,Alessandro Murgia,alessandro-murgia,M,False,0,35,4,3,0,0,0,0,90,Simone Missiroli,simone-missiroli,M,False,0,42,3,1,2,0,0,0,90,Jasmin Kurtić,jasmin-kurtic,M,False,0,30,7,3,3,0,0,0,90,Arkadiusz Reca,arkadiusz-reca,M,False,0,9,1,0,1,0,0,0,62,Andrea Petagna,andrea-petagna,F,False,0,17,3,3,1,0,0,0,90,Federico Di Francesco,federico-di-francesco,F,False,0,23,0,0,0,0,0,0,90,Gabriel Strefezza,gabriel-strefezza,F,True,0,8,2,1,2,0,0,0,28,Jacopo Sala,jacopo-sala,M,True,0.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,17.0,Felipe,felipe,D,True,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8337670,Away,3-5-2,Thomas Strakosha,thomas-strakosha,G,False,0,17,6,1,1,1,1,1,90,Patric,patric,D,False,0,24,0,0,0,0,0,0,48,Francesco Acerbi,francesco-acerbi,D,False,0,52,4,4,3,0,0,0,90,Ştefan Radu,stefan-radu,D,False,0,50,1,0,2,0,0,0,90,Manuel Lazzari,manuel-lazzari,D,False,0,23,0,0,3,0,0,0,90,Marco Parolo,marco-parolo,M,False,0,36,4,2,4,0,0,0,90,Lucas Leiva,lucas-leiva,M,False,0,36,3,1,4,0,0,0,68,Luis Alberto,luis-alberto,M,False,0,76,9,7,0,0,0,0,90,Senad Lulić,senad-lulic,M,False,0,27,1,1,3,0,0,0,90,Felipe Caicedo,felipe-caicedo,F,False,0,18,1,1,0,0,0,0,68,Ciro Immobile,ciro-immobile,F,False,0,18,0,0,0,0,0,0,90,Denis Vavro,denis-vavro,D,True,0,38,4,2,0,0,0,0,42,Sergej Milinković-Savić,sergej-milinkovic-savic,M,True,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,Joaquín Correa,joaquin-correa,F,True,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8337656,Home,3-4-1-2,Marco Silvestri,marco-silvestri,G,False,0,10,22,7,0,1,3,0,90,Amir Rrahmani,amir-rrahmani,D,False,0,10,5,2,3,0,0,0,79,Marash Kumbulla,marash-kumbulla,D,False,0,23,9,5,4,0,0,0,90,Koray Günter,koray-gunter,D,False,0,21,3,0,4,0,0,0,90,Davide Faraoni,davide-faraoni,M,False,0,15,4,2,1,0,0,0,90,Sofyan Amrabat,sofyan-amrabat,M,False,0,17,1,0,1,0,0,0,90,Miguel Veloso,miguel-veloso,M,False,0,30,3,1,2,0,0,0,90,Darko Lazović,darko-lazovic,M,False,0,20,2,2,4,0,0,0,90,Valerio Verre,valerio-verre,M,False,0,18,2,2,4,0,0,0,67,Mariusz Stępiński,mariusz-stepinski,F,False,0,3,0,0,0,0,0,0,21,Mattia Zaccagni,mattia-zaccagni,F,False,0,9,0,0,0,0,0,0,79,Matteo Pessina,matteo-pessina,M,True,0,3,0,0,0,0,0,0,23,Samuel Di Carmine,samuel-di-carmine,F,True,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,Gennaro Tutino,gennaro-tutino,F,True,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8337656,Away,4-3-2-1,Gianluigi Donnarumma,gianluigi-donnarumma,G,False,0,16,7,4,1,1,1,0,90,Davide Calabria,davide-calabria,D,False,0,72,6,4,1,0,0,0,89,Mateo Musacchio,mateo-musacchio,D,False,0,86,5,3,2,0,0,0,90,Alessio Romagnoli,alessio-romagnoli,D,False,0,95,6,3,4,0,0,0,90,Ricardo Rodríguez,ricardo-rodriguez,D,False,0,62,7,4,0,0,0,0,90,Franck Kessié,franck-kessie,M,False,0,27,0,0,0,0,0,0,90,Lucas Biglia,lucas-biglia,M,False,0,44,4,3,0,0,0,0,90,Hakan Çalhanoğlu,hakan-calhanoglu,M,False,0,57,2,2,1,0,0,0,90,Suso,suso,M,False,0,54,5,3,0,0,0,0,90,Lucas Paquetá,lucas-paqueta,M,False,0,21,0,0,0,0,0,0,45,Krzysztof Piątek,krzysztof-piatek,F,False,0,11,1,1,1,0,0,0,90,Ante Rebić,ante-rebic,F,True,0,12,3,2,0,0,0,0,45,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8337659,Home,3-5-2,Bartłomiej Drągowski,bartlomiej-dragowski,G,False,0,14,11,5,1,1,4,1,90,Nikola Milenković,nikola-milenkovic,D,False,0,36,5,1,5,0,0,0,90,Germán Pezzella,german-pezzella,D,False,0,28,4,1,1,0,0,0,83,Martín Cáceres,martin-caceres,D,False,0,33,8,3,3,0,0,0,90,Pol Lirola,pol-lirola,D,False,0,22,7,4,0,0,0,0,90,Erick Pulgar,erick-pulgar,M,False,0,36,4,4,1,0,0,0,90,Milan Badelj,milan-badelj,M,False,0,49,8,7,0,0,0,0,90,Gaetano Castrovilli,gaetano-castrovilli,M,False,0,21,3,3,0,0,0,0,89,Dalbert,dalbert,M,False,0,29,1,0,0,0,0,0,90,Federico Chiesa,federico-chiesa,F,False,0,21,4,3,0,0,0,0,90,Franck Ribéry,franck-ribery,M,False,0,24,4,4,0,0,0,0,69,Kevin-Prince Boateng,kevin-prince-boateng,M,True,0,1,0,0,1,0,0,0,21,Federico Ceccherini,federico-ceccherini,D,True,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,Szymon Żurkowski,szymon-zurkowski,M,True,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8337659,Away,4-4-2,Wojciech Szczęsny,wojciech-szczesny,G,False,0,24,10,7,0,4,5,0,90,Danilo,danilo,D,False,0,39,4,1,3,0,0,0,62,Leonardo Bonucci,leonardo-bonucci,D,False,0,68,11,7,1,0,0,0,90,Matthijs de Ligt,matthijs-de-ligt,D,False,0,32,3,0,5,0,0,0,90,Alex Sandro,alex-sandro,D,False,0,51,5,3,2,0,0,0,90,Douglas Costa,douglas-costa,M,False,0,2,0,0,0,0,0,0,8,Sami Khedira,sami-khedira,M,False,0,31,2,1,2,0,0,0,90,Miralem Pjanić,miralem-pjanic,M,False,0,32,4,2,0,0,0,0,44,Blaise Matuidi,blaise-matuidi,M,False,0,34,1,0,1,0,0,0,90,Gonzalo Higuaín,gonzalo-higuain,F,False,0,13,2,2,2,0,0,0,90,Cristiano Ronaldo,cristiano-ronaldo,F,False,0,27,1,0,0,0,0,0,90,Federico Bernardeschi,federico-bernardeschi,F,True,0,18,2,1,0,0,0,0,82,Rodrigo Bentancur,bentancur-rodrigo,M,True,0.0,17.0,3.0,3.0,2.0,0.0,0.0,0.0,46.0,Juan Cuadrado,juan-cuadrado,M,True,0.0,14.0,2.0,1.0,0.0,0.0,0.0,0.0,28.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
